Event,Type,Start Date,End Date,Description (long),Cost in Billion Dollars,Deaths
Southern/Eastern/Northwestern Drought and Heat Wave,Drought,1-Jan-24,31-Dec-24,"Drought conditions impacted many Southern, Eastern and Northwestern states. This drought was more transient in its impacts over numerous states throughout the year. The states of Texas, Oklahoma and Kansas had some of the highest losses to crops from the effects of drought and heat. As the drought changed in intensity and duration throughout the year across several regions of the country. Several Northwestern states also had costly impacted to agriculture including Montana, Idaho and Washington. Numerous southern and eastern states from Mississippi through Pennsylvania also experienced crop impacts that were most severe in the Summer months. The drought conditions also strengthen through the Fall and Winter months impacting Maryland, Delaware and New Jersey. It was also one of the hottest years on record for a number of these states, which claimed more than 100 lives from excessive heat exposure.",$5.40 ,136
Southern/Midwestern Drought and Heatwave,Drought,1-Apr-23,30-Sep-23,"Drought conditions impacted numerous Southern and Midwestern states (TX, LA, OK, KS, IL, MO, NE) and surrounding states. The agriculture sector has been impacted across these affected states including damage to field crops from lack of rainfall. Ranchers have also been forced to sell-off livestock early in some regions due to high feeding costs. For the second straight year, portions of the Mississippi River have experienced low water levels impacting river commerce. This low flow has also allowed salt water from the Gulf of Mexico to migrate northward, along the bottom of the Mississippi River, impacting water quality in southern Louisiana. Several Northwestern states including Washington, Oregon and Montana have also been impacted by increasing drought effects.",$14.80 ,247
Southwest/Great Plains Drought,Drought,1-Jan-09,31-Dec-09,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",$5.20 ,0
Southwest/Southern Plains Drought,Drought,1-Jun-18,30-Dec-18,"Drought conditions were present across numerous Southwestern and Plains states (TX, OK, KS, MO, CO, NM, AZ, UT). The most extreme drought conditions continue to persist across the Four Corners region of the Southwest. The agriculture sector has been impacted across the affected states including damage to field crops from lack of rainfall. Ranchers have also be forced to sell-off livestock early in some regions due to high feeding costs.",$3.80 ,0
Spring Freeze,Freeze,4-Apr-07,10-Apr-07,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",$3.20 ,0
Texas and Oklahoma Flooding and Severe Weather,Flooding,23-May-15,26-May-15,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded $1.0 ($1.4) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",$3.40 ,31
Texas and Oklahoma Severe Weather,Severe Storm,27-Apr-21,28-Apr-21,"Severe weather including tornadoes, high wind, localized flooding and large hail cause widespread impacts across central Texas and Oklahoma. There was considerable damage across Texas and Oklahoma to many homes, vehicles and businesses particularly from hail storms. Several of the more impacted areas include west of San Antonio, north of Fort Worth, and southwest of San Marcos.",$3.70 ,0
Texas Hail Storm,Severe Storm,22-Mar-19,24-Mar-19,"Texas hail storm over the Dallas metroplex damaged many homes, businesses and vehicles. Oklahoma also received hail damage resulting from the same severe weather system.",$1.90 ,0
Texas Tornadoes and Central Severe Weather,Severe Storm,20-Oct-19,20-Oct-19,"Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes, vehicles, businesses and other public infrastructure. Tornadoes up to EF-3 intensity with maximum winds of 140 mph tracked across a large section of highly developed northern Dallas. Additionally high winds and hail damage also caused damage in other states including Oklahoma, Missouri, Arkansas, Louisiana and Tennessee.",$2.10 ,2
Texas Tornadoes and Midwest Flooding,Severe Storm,26-Dec-15,29-Dec-15,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",$2.60 ,50
"Texas, New Mexico, Arizona Wildfires",Wildfire,1-Jun-11,30-Nov-11,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",$2.50 ,5
U.S. Drought,Drought,1-Jan-08,31-Dec-08,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",$10.50 ,0
U.S. Drought,Drought,1-Mar-02,30-Nov-02,"Moderate to extreme drought over large portions of more than 30 states, including the western states, the Great Plains, and much of the eastern U.S.",$16.00 ,0
U.S. Drought,Drought,1-Mar-91,31-Aug-91,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",$7.00 ,0
U.S. Drought/Heat Wave,Drought,1-Jan-12,31-Dec-12,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heat wave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",$41.70 ,123
U.S. Drought/Heat Wave,Drought,1-Jun-88,31-Aug-88,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",$54.60 ,454
U.S. Wildfires,Wildfire,1-Sep-08,30-Nov-08,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",$1.80 ,16
Western Drought,Drought,1-Jan-14,31-Dec-14,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",$5.30 ,0
Western Wildfires,Wildfire,1-Jun-12,30-Nov-12,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",$2.40 ,8
Western Wildfires,Wildfire,1-Jun-09,30-Nov-09,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National wildfire acreage burned exceeds 5.9 million acres. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",$1.50 ,10
"Western, Central and Northeast Severe Weather",Severe Storm,4-Jan-08,9-Jan-08,"Strong storm produces severe weather including hail, high winds and heavy precipitation from California to New York. Flash floods and landslides cause damage in California. In addition, more than 70 tornadoes were reported from Arkansas to Wisconsin, with the highest concentration of tornadoes in Missouri.",$1.50 ,12
Western/Central Drought and Heat Wave,Drought,1-Jan-22,31-Dec-22,"Severe drought conditions impacted many Western and Central states. Large reservoirs across the West including Lake Mead, Lake Powell, Lake Oroville, and Shasta Lake, among others continue to be depleted. Lake Mead, the Nation's largest reservoir, is nearing dead pool status and is at the lowest level since it was filled in the 1930s. The Great Salt Lake is also near record-low levels. The impacts of the drought affected crop production across may states and sharply increased feeding costs for livestock. Many segments of the Mississippi River also experienced low water levels causing delays and reductions in river commerce. Extreme heat also developed for many days across Western and Central states. These excess heat conditions caused more than one hundred heat-related fatalities focused across Arizona, Nevada, California, Oregon and Texas. The 2022 drought was one of the costlier droughts on record, with a diverse array of direct impacts across different regions and industries.",$23.50 ,136
Western/Central/Southeast Drought/Heat Wave,Drought,1-Mar-00,30-Nov-00,"Western/Central/Southeast Drought/Heat Wave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",$9.30 ,140
Western/Plains Drought/Heat Wave,Drought,1-Mar-13,30-Nov-13,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses across the central agriculture states.",$14.30 ,53
"Winter Storm, Cold Wave",Winter Storm,21-Dec-89,26-Dec-89,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",$1.70 ,100
"Winter Storm, Cold Wave",Winter Storm,19-Jan-85,22-Jan-85,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",$2.50 ,150
