name,Nationality,Current status,gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,hair,height_in,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color,feet,inches,birth_age,death_age,birth_year,death_year,years_alive,series
Gilda,Andoran,Alive,Female,NA,TEOTW 41,TEOTW 41,NA,NA,NA,NA,NA,TDR 47,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Sergase Gilbearn,Andoran,Alive,Female,Slim,KOD 17,NA,House Trakand,Lady,NA,NA,LOC 28,KOD 32,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Gille,Seanchan,Dead,Female,NA,TPOD 22,TPOD 23,Ever Victorious Army,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Gillin,Unknown nationality,Alive,Female,NA,WH 15,WH 15,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mairin Gome,Unknown nationality,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 36,TFOH 38,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Shana Goridien,Unknown nationality,Alive,Female,NA,LOC 40,COT 19,White Tower,NA,Aes Sedai,NA,NA,NA,882 NE,Bulging,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,882,NA,NA,wot
Valera Gorovni,Kandori,Dead,Female,Plump,NS 7,NS 8,White Tower,NA,Aes Sedai,979 NE,NA,NS 18,748 NE,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,748,979,231,wot
Sora Grady,Unknown nationality,Alive,Female,Plump,LOC 3,LOC 42,NA,NA,NA,NA,NA,AMOL 40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Graendal,NA,Dead,Female,Voluptuous,TFOH Prologue,TOM Epilogue,NA,NA,Chosen,1000 NE,TSR 58,AMOL 25,Age of Legends,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AB,NE,-500,1000,3985,wot
Gregana,Seanchan,Dead,Female,NA,TGS 40,TGS 40,NA,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Else Grinwell,Andor,Alive,Female,NA,TEOTW 31,TGH 39,NA,NA,NA,NA,NA,TSR 6,NA,NA,NA,Dark,NA,NA,NA,NA,NA,Plump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress Grinwell,Andoran,Alive,Female,NA,TEOTW 31,TEOTW 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,NA,Farmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Grubb,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TEOTW 39,TEOTW 41,NA,NA,NA,NA,NA,Healer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ailhuin Guenna,Tairen,Alive,Female,"Large, muscular",TDR 48,TDR 52,NA,NA,NA,NA,NA,TDR 56,NA,Dark,NA,Gray,NA,Wise Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Liandrin Guirale,Taraboner,Unknown,Female,NA,TGH 4,KOD Prologue,Black Ajah,NA,Aes Sedai,NA,NA,TGS 39,964 NE,Dark Brown,Red Ajah,Red,NA,Da'covale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,964,NA,NA,wot
Guisin,Unknown nationality,Alive,Female,NA,WH 28,WH 28,Seanchan,NA,Aes Sedai,NA,LOC 15,NA,NA,NA,Gray Ajah,Silver,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Gyldan,Unknown nationality,Foreseen,Female,NA,TDR 22,TDR 22,Black Ajah,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Hadora,Unknown nationality,Alive,Female,NA,KOD 32,KOD 32,Queen's Guard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kera Haellin,Tairen,Alive,Female,NA,ACOS Prologue,ACOS Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Blue,Green Ajah,Fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Catalyn Haevin,Andoran,Alive,Female,Plump,COT 13,TOM 23,House Trakand,Lady,High Seat,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Evelle Haevin,Andoran,Alive,Female,NA,NA,NA,House Trakand,Lady,NA,NA,COT 13,COT 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Rina Hafden,Amadician,Alive,Female,Stocky,NS 7,TOM 27,White Tower,NA,Aes Sedai,NA,NA,NA,923 NE,NA,Green Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,923,NA,NA,wot
Merise Haindehl,Taraboner,Alive,Female,NA,WH 13,AMOL 37,Unaligned sisters,NA,Aes Sedai,NA,NA,NA,798 NE,Blue,Green Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,798,NA,NA,wot
Hamada,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TDR 50,TDR 50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lady Hamarashle,Cairhienin,Alive,Female,NA,TOM 50,TOM 50,Cairhien,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Escaralde Hamdey,Far Madding,Alive,Female,NA,LOC 13,KOD 23,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Faeldrin Harella,Taraboner,Dead,Female,NA,LOC Prologue,WH 32,White Tower,NA,Aes Sedai,NA,NA,AMOL 34,NA,Cool,Green Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Reene Harfor,Andoran,Unknown,Female,Slightly Plump,LOC 10,KOD 35,House Trakand,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,First Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Harilin,Aiel,Alive,Female,Lanky,LOC 28,KOD 19,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,Taardad,Iron Mountain,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Maryl Harke,Unknown nationality,Alive,Female,NA,NA,NA,School of Cairhien,NA,NA,NA,WH Prologue,WH Prologue,NA,NA,NA,NA,NA,Inventor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bera Harkin,Andoran,Alive,Female,Stocky,LOC 49,AMOL 23,White Tower,NA,Aes Sedai,NA,TFOH 27,NA,NA,Brown,Green Ajah,Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Yukiri Haruna,Unclaimed territories,Alive,Female,Tiny,TPOD 26,AMOL Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,837 NE,Green,Gray Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,837,NA,NA,wot
Mailaine Harvole,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Biranca Hasad,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Hashala,Unknown nationality,Alive,Female,NA,TGS 41,TGS 41,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Hayde,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,AMOL Prologue,AMOL Prologue,NA,NA,NA,NA,NA,Wise One,Daryne,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Razina Hazzan,Saldaean,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Heidia,Aiel,Alive,Female,Slender,TOM 25,TOM 25,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Heilin,Altaran,Alive,Female,Round,KOD 11,KOD 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Seaine Herimon,Murandian,Alive,Female,NA,ACOS 32,AMOL 21,White Tower,NA,Aes Sedai,NA,ACOS 8,NA,841NE,Watery blue,White Ajah,Black,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,841,NA,NA,wot
Hessalam,NA,Alive,Female,NA,AMOL Prologue,AMOL 48,NA,NA,Chosen,NA,NA,NA,NA,"Pale, off-center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Corele Hovian,Murandian,Alive,Female,Slim,ACOS 19,TOM 13,Unaligned sisters,NA,Aes Sedai,NA,NA,NA,NA,Blue,Yellow Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress Huldin,Andoran,Alive,Female,NA,LOC 3,LOC 3,NA,NA,NA,NA,LOC 3,LOC 3,NA,NA,NA,NA,NA,Weaver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ianelle,Seanchan,Alive,Female,NA,WH 14,WH 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ibrella,Altaran,Alive,Female,NA,NA,NA,White Tower,NA,Novice,NA,LOC 13,LOC 13,980 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,980,NA,NA,wot
Ieine,Unknown nationality,Alive,Female,NA,ACOS 38,TPOD 3,The Kin,NA,Elder,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ifeyina,Aiel,Alive,Female,NA,TOM 32,TOM 32,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ila,Tuatha'an,Alive,Female,Plump,TEOTW 25,AMOL 37,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Illeisien,Unknown nationality,Alive,Female,NA,NA,NA,Unaligned sisters,NA,Aes Sedai,NA,TPOD Prologue,TPOD Prologue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Inala,Domani,Alive,Female,Lanky,TGS 40,TGS 40,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ines,Unknown nationality,Alive,Female,NA,ACOS 35,ACOS 35,Darlin Sisnera,Lady,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Iona,Seanchan,Alive,Female,NA,NA,NA,NA,NA,NA,NA,WH 20,WH 20,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Irella,Unknown nationality,Alive,Female,Lanky,TGH 39,TGH 39,White Tower,NA,Accepted,NA,TGH 38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Isan,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,1000 NE,ACOS 2,AMOL 38,NA,NA,NA,NA,NA,NA,Chareen,Jarra (sept),Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Isebele,Dal Calainin,Dead,Female,NA,NA,NA,NA,Queen of Dal Calain,Queen,NA,ACOS 16,ACOS 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Isendre,Unknown nationality,Dead,Female,NA,TSR 37,TFOH 29,Darkfriend,NA,NA,999 NE,NA,TFOH 46,NA,Dark,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Tamsin Ituralde,Domani,Alive,Female,NA,NA,NA,Arad Doman,NA,NA,NA,COT Prologue,KOD Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Iva,NA,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGH 35,LOC 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ivara,Tairen,Alive,Female,NA,ACOS 31,NA,The Kin,NA,Elder,NA,NA,NA,664 NE,NA,NA,NA,NA,Goldsmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,664,NA,NA,wot
Jadein,Atha'an Miere,Alive,Female,Lean,KOD 22,KOD 22,Atha'an Miere,NA,Deckmistress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Marith Jaen,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,988 NE,ACOS Prologue,ACOS 8,700 NE,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,700,988,288,wot
Amalisa Jagad,Shienaran,Alive,Female,NA,TGH 4,TGH 5,NA,Lady,NA,NA,TGH 2,TGH 8,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jair,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,ACOS 18,ACOS 18,NA,NA,NA,NA,NA,NA,Daryne,Broken Cliff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jalani,Aiel,Alive,Female,NA,LOC 1,TGS 31,NA,NA,NA,NA,NA,NA,983 NE,Green,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NE,NA,983,NA,NA,wot
Jalindin,Seanchan,Alive,Female,NA,TFOH 32,TFOH 32,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,Seeker for Truth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jalys,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Codarra,Chane Rocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jameine,Unknown nationality,Alive,Female,Willowy,WH 15,COT 3,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jan,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC Prologue,NA,NA,NA,NA,NA,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Janina,Aiel,Alive,Female,NA,TPOD 9,KOD 29,Car'a'carn,NA,NA,NA,NA,NA,NA,Pale blue,NA,NA,NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Janira,Saldaean,Dead,Female,NA,ACOS 38,ACOS 38,The Kin,NA,Elder,1000 NE,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Janny,Andoran,Alive,Female,NA,COT 15,COT 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lisaine Jarath,Seanchan,Alive,Female,NA,TPOD 24,TPOD 24,NA,NA,NA,NA,NA,NA,NA,Blue,NA,Gray,NA,Der'sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jarene,Kandori,Alive,Female,NA,NS 25,NS 25,Kandor,NA,NA,NA,NA,NA,966 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,966,NA,NA,wot
Jasmen,Unknown nationality,Alive,Female,NA,TGS 40,TGS 40,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jendhilin,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,NA,WH 34,TGS 29,NA,NA,NA,NA,NA,NA,Miagoma,Cold Peak,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jennet (Murandian noble),Murandian,Alive,Female,NA,TPOD 18,TPOD 18,Murandy,Lady,Novice,NA,NA,KOD 23,NA,Big,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jera,Altaran,Alive,Female,NA,NA,KOD 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jesain,Aiel,Alive,Female,NA,COT 9,COT 9,Shaido Aiel,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jesamyn,Unknown nationality,Alive,Female,NA,AMOL Prologue,AMOL Prologue,The Kin,NA,NA,NA,NA,AMOL 1,NA,NA,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jezrail,Tairen,Alive,Female,NA,KOD 24,AMOL 14,The Shadow,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jharen,Amadician,Alive,Female,Plump,TFOH 13,TFOH 16,NA,NA,NA,NA,NA,TFOH 17,NA,NA,NA,Gray,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Eldrith Jhondar,Amadician,Dead,Female,Plump,TSR 38,TOM 23,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,884 NE,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,884,1000,116,wot
Jillari,Seanchan,Alive,Female,Slight,KOD 14,KOD 14,NA,NA,NA,NA,WH 8,NA,NA,Green,NA,Red,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jillien,Unknown nationality,Alive,Female,Plump,TPOD 20,TPOD 28,The Kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Goldsmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jini,Seanchan,Alive,Female,NA,TFOH 32,TFOH 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jinjin,Seanchan,Alive,Female,NA,ACOS 26,ACOS 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Joinde,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 3,TFOH 3,NA,NA,NA,NA,NA,NA,Shaarad,Black Rock,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jolien,Aiel,Dead,Female,NA,TDR 38,TFOH 44,Car'a'carn,NA,NA,999 NE,NA,NA,NA,Blue,NA,Red,NA,NA,Nakai,Salt Flat,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Jonasim,Saldaean,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 16,TOM 16,NA,NA,NA,NA,NA,Queen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jorath,Ghealdanin,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TDR 8,TDR 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Tesien Jorhald,Taraboner,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,ACOS 32,ACOS 32,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Josaine,Unknown nationality,Dead,Female,NA,TGS 40,TGS 40,White Tower,NA,Aes Sedai,1000 NE,ACOS 32,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Famelle Juarde,Taraboner,Alive,Female,Slender,ACOS 37,WH 11,The Kin,NA,Elder,NA,NA,NA,NA,Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jorin din Jubai White Wing,Atha'an Miere,Alive,Female,NA,TSR 19,TSR 39,Atha'an Miere,NA,Windfinder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Coine din Jubai Wild Winds,Atha'an Miere,Alive,Female,NA,TSR 19,TSR 39,Atha'an Miere,NA,Sailmistress,NA,NA,NA,NA,Brown,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Juendan,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TDR 50,TDR 50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Metarra din Junalle,Atha'an Miere,Alive,Female,NA,TPOD 2,TPOD 5,Atha'an Miere,NA,Apprentice,NA,NA,COT 14,NA,Big,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Marasale Jureen,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,732 NE,TWORJTWOT,TWORJTWOT,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,732,NA,wot
Kainea,Aiel,Alive,Female,NA,TOM 13,TOM 13,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,Unknown clan,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kaisea,Seanchan,Alive,Female,NA,TOM 14,TOM 33,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Vayelle Kamsa,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,WH 13,WH 13,914 NE,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,914,NA,NA,wot
Kanara,Aiel,Alive,Female,NA,TOM 15,TOM 15,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kalia Karede,Seanchan,Dead,Female,NA,NA,NA,NA,NA,NA,NA,COT 4,KOD 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Moria Karentanis,Illianer,Dead,Female,NA,TPOD 18,TGS 43,Black Ajah,NA,Aes Sedai,1000 NE,TPOD 16,TGS 45,840 NE,NA,Blue Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,840,1000,160,wot
Sumeko Karistovan,Arafellin,Alive,Female,Stout,ACOS 31,AMOL 7,The Kin,NA,Elder,NA,ACOS 24,NA,598 NE,NA,NA,NA,NA,Wise Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,598,NA,NA,wot
Kasi,Cairhienin,Alive,Female,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Katerin,Aiel,Alive,Female,NA,AMOL 5,AMOL 5,Rand al'Thor,NA,NA,NA,NA,NA,NA,NA,NA,Golden,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kathana,Altaran,Alive,Female,NA,AMOL 11,AMOL 11,NA,NA,NA,NA,NA,AMOL 11,NA,NA,NA,NA,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kati,Andoran,Alive,Female,NA,TOM 31,TOM 31,NA,NA,NA,NA,NA,TOM 31,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
