LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"d $350,000-1 million",OKLAHOMA FORGE LLC,5259 S 49TH WEST AVE,TULSA,OK,74107,332111,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,36,04/05/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million",OKLAHOMA FOUNDATION FOR MEDICAL QUALITY,515 Central Park Drive,OKLAHOMA CITY,OK,73105,541690,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,21,04/13/2020,MidFirst Bank,OK - 05
"d $350,000-1 million","OKLAHOMA GENERAL AGENCY, INC.",817 NE 63RD ST,OKLAHOMA CITY,OK,73105,524210,Corporation,Unanswered,Unanswered,Unanswered,,44,04/27/2020,Regent Bank,OK - 05
"d $350,000-1 million","OKLAHOMA HEALTHCARE SERVICES, INC.",3040 N Hemlock Circle,BROKEN ARROW,OK,74012,624190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,401,04/07/2020,BancFirst,OK - 01
"d $350,000-1 million","OKLAHOMA HI-TECH, INC.",4345 N Santa Fe,OKLAHOMA CITY,OK,73118,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,84,04/29/2020,Prosperity Bank,OK - 05
"d $350,000-1 million","OKLAHOMA HOME CENTERS, LLC",5103 S. DIVISION ST,GUTHRIE,OK,73044,444190,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,37,04/04/2020,F & M Bank,OK - 03
"d $350,000-1 million",OKLAHOMA INVESTMENT GROUP LLC MG,1149 E Brooks St,NORMAN,OK,73071,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,70,04/10/2020,MidFirst Bank,OK - 04
"d $350,000-1 million",OKLAHOMA LUBE ASSOCIATES LP,1308 CORNELL PKWY,OKLAHOMA CITY,OK,73108,811191,Partnership,Unanswered,Unanswered,Unanswered,,58,04/14/2020,BancFirst,OK - 05
"d $350,000-1 million","OKLAHOMA MUSEUM OF ART, INC",415 Couch Drive,OKLAHOMA CITY,OK,73102,712110,Corporation,Unanswered,Female Owned,Unanswered,,75,04/04/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million",OKLAHOMA NATIONAL STOCK YARDS COMPANY,"2501 EXCHANGE AVE, ROOM 107",OKLAHOMA CITY,OK,73148,551112,Corporation,Unanswered,Unanswered,Unanswered,,40,04/13/2020,BancFirst,OK - 05
"d $350,000-1 million","OKLAHOMA OTOLARYNGOLOGY ASSOCIATES, LLC","3033 NW 63rd St, Suite 152 E",OKLAHOMA CITY,OK,73116,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,70,04/07/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million","OKLAHOMA PHILHARMONIC SOCIETY, INC",424 Colcord DR STE B,OKLAHOMA CITY,OK,73102,711190,Corporation,Unanswered,Unanswered,Unanswered,,15,04/07/2020,First Fidelity Bank,OK - 05
"d $350,000-1 million","OKLAHOMA REPOSSESSORS, LLC",920 N. VIRGINIA DR,OKLAHOMA CITY,OK,73107,561491,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,04/04/2020,First Fidelity Bank,OK - 05
"d $350,000-1 million",OKLAHOMA SPINE AND BRAIN INSTITUTE PC,6802 S Olympia Ave,TULSA,OK,74132,621111,Partnership,Unanswered,Unanswered,Unanswered,,33,04/14/2020,MidFirst Bank,OK - 01
"d $350,000-1 million",OKLAHOMA SPORTING SUPPLIES INC.,400 S VERMONT AVE STE 110,OKLAHOMA CITY,OK,73108,451110,Corporation,Unanswered,Unanswered,Unanswered,,67,04/27/2020,"INTRUST Bank, National Association",OK - 05
"d $350,000-1 million","OKLAHOMA STAFFING SPECIALISTS, LLC",5649 S MINGO,TULSA,OK,74146,561330,Corporation,Unanswered,Unanswered,Unanswered,,98,04/29/2020,Regent Bank,OK - 01
"d $350,000-1 million",OKLAHOMA SURGICAL GROUP PLLC,2525 NW Expressway Suite 610,OKLAHOMA CITY,OK,73112,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/14/2020,Simmons Bank,OK - 05
"d $350,000-1 million","OKLAHOMA UNITED METHODIST CIRCLE OF CARE, INC",1501 NW 24th Street,OKLAHOMA CITY,OK,73106,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,48,04/16/2020,Prosperity Bank,OK - 05
"d $350,000-1 million","OKLAHOMA VETERINARY SPECIALIST, LLC",1501 W 78TH ST,TULSA,OK,74132,541940,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,78,04/14/2020,Arvest Bank,OK - 01
"d $350,000-1 million","OKLAHOMA VISION DEVELOPMENT CENTER, INC., P.C.","4520 S HARVARD AVE, STE 135",TULSA,OK,74135,621320,Subchapter S Corporation,White,Male Owned,Non-Veteran,,57,04/06/2020,Arvest Bank,OK - 01
"d $350,000-1 million","OKX LOGISTICS, INC.",901 Enterprise Avenue #11,OKLAHOMA CITY,OK,73128,484110,Corporation,Unanswered,Unanswered,Unanswered,,61,04/07/2020,First Fidelity Bank,OK - 03
"d $350,000-1 million","OLC, INC",3007 NW 63RD ST STE 205,OKLAHOMA CITY,OK,73116,237310,Corporation,Unanswered,Male Owned,Unanswered,,115,04/04/2020,Central Bank of Oklahoma,OK - 05
"d $350,000-1 million",OLD SURETY LIFE INSURANCE COMPANY,5201 N Lincoln Blvd,OKLAHOMA CITY,OK,73105,524114,Corporation,Unanswered,Unanswered,Unanswered,,49,04/12/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million",OMEG,244 South Gateway Place,JENKS,OK,74037,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,04/06/2020,First State Bank,OK - 01
"d $350,000-1 million","OMNI AIR TRANSPORT, LLC","3217 N. SHERIDAN RD, Hangar 38",TULSA,OK,74115,481211,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,43,04/07/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million",OMNI VALVE CO LLC,45220 Chandler Road,MUSKOGEE,OK,74403,332911,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/12/2020,"PNC Bank, National Association",OK - 01
"d $350,000-1 million","OPECO, INC.",601 SE  30TH ST,OKLAHOMA CITY,OK,73129,237120,Corporation,Unanswered,Male Owned,Unanswered,,39,04/13/2020,First Bethany Bank & Trust,OK - 05
"d $350,000-1 million",OPPORTUNITY CENTER INC.,3007 N. Union St,PONCA CITY,OK,74601,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,118,04/08/2020,First National Bank of Oklahoma,OK - 03
"d $350,000-1 million","ORAL AND MAXILLOFACIAL ASSOCIATES, LLC","3601 NW 138th Street, Suite 101",OKLAHOMA CITY,OK,73134,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/14/2020,Simmons Bank,OK - 05
"d $350,000-1 million","ORAL ROBERTS EVANGELISTIC ASSOCIATION, INC.",6355 E. Skelly Drive,TULSA,OK,74135,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,54,04/07/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million",ORANGE LEAF HOLDINGS LLC,7 NE 6TH ST STE 210,OKLAHOMA CITY,OK,73104,424490,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,31,04/04/2020,Legacy Bank,OK - 05
"d $350,000-1 million","ORCO SERVICE, LLC",1001 Stonbriar Trl,KINGFISHER,OK,73750,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/05/2020,F & M Bank,OK - 03
"d $350,000-1 million","ORCUTT MECHANICAL CONTRACTORS, INC.",6200 NW 39th Expressway,BETHANY,OK,73008,238220,Corporation,Hispanic,Male Owned,Non-Veteran,,45,04/03/2020,Great Plains National Bank,OK - 05
"d $350,000-1 million",ORDER-MATIC ELECTRONICS CORP LLC,340 S. Eckroat St,OKLAHOMA CITY,OK,73129,334118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/06/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million","ORION INDUSTRIAL SERVICES, LLC",2780 N Highway 167,CATOOSA,OK,74015,541611,Corporation,Unanswered,Male Owned,Veteran,,40,04/08/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million","ORION SECURITY SOLUTIONS, LLC",16232 Muirfield Pl,EDMOND,OK,73013,561621,Subchapter S Corporation,White,Male Owned,Unanswered,,66,04/04/2020,"Fidelity Bank, National Association",OK - 05
"d $350,000-1 million","ORR CONSTRUCTION, INC.",PO BOX 382 POBOX382,DAVENPORT,OK,74026,237990,Corporation,Unanswered,Unanswered,Unanswered,,78,04/10/2020,BancFirst,OK - 03
"d $350,000-1 million","ORR MOTORS OF GREENVILLE, INC",7110 N W QUANAH PARKER TRAILWAY,LAWTON,OK,73505,441110,Corporation,Unanswered,Unanswered,Unanswered,,56,04/28/2020,Arvest Bank,OK - 04
"d $350,000-1 million","ORRKLAHOMA CENTRAL, LLC",200 E I 240 SERVICE RD,OKLAHOMA CITY,OK,73149,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,54,04/10/2020,Arvest Bank,OK - 04
"d $350,000-1 million","ORRKLAHOMA EAST, LLC",5108 SE 15TH ST,DEL CITY,OK,73115,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,91,04/08/2020,Arvest Bank,OK - 04
"d $350,000-1 million","ORRKLAHOMA MOTORS, INC.",339 SW I 240 SERVICE RD,OKLAHOMA CITY,OK,73139,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/13/2020,Arvest Bank,OK - 04
"d $350,000-1 million","ORTHOPAEDIC AND SPORTS MEDICINE CENTER, PC",825 EAST ROBINSON ST,NORMAN,OK,73071,621112,Corporation,Unanswered,Male Owned,Non-Veteran,,78,04/04/2020,Armstrong Bank,OK - 04
"d $350,000-1 million","OSEBERG, INC.","6301 Waterford Blvd, Suite 200",OKLAHOMA CITY,OK,73118,541511,Corporation,Unanswered,Unanswered,Unanswered,,,04/27/2020,Pacific Western Bank,OK - 05
"d $350,000-1 million",OSWALT EQUIPMENT COMPANY,4532 ENTERPRISE DR,OKLAHOMA CITY,OK,73128,337127,Corporation,Unanswered,Male Owned,Unanswered,,36,04/28/2020,First Oklahoma Bank,OK - 03
"d $350,000-1 million","OT CAP PARTNERS, LLC",14504 HERTZ QUAIL SPRINGS PKWY,OKLAHOMA CITY,OK,73134,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,111,04/03/2020,SpiritBank,OK - 05
"d $350,000-1 million","OTHODONTIC SPECIALISTS OF OKLAHOMA, PLLC",3560 RC LUTTRELL DR Ste 200,NORMAN,OK,73072,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,04/09/2020,Valliance Bank,OK - 04
"d $350,000-1 million",OTOE-MISSOURIA DEVELOPMENT AUTHORITY,4111 Perimeter Center Place,OKLAHOMA CITY,OK,73122,921150,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,67,04/13/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million",OTOLOGIC MEDICAL CLINIC INC,3400 NW 56TH ST,OKLAHOMA CITY,OK,73112,621111,Corporation,Unanswered,Unanswered,Unanswered,,64,04/06/2020,First Bethany Bank & Trust,OK - 05
"d $350,000-1 million",OTTAWA TRIBE OF OKLAHOMA,61475 E 100 RD,MIAMI,OK,74354,713210,Corporation,Unanswered,Unanswered,Unanswered,,96,04/27/2020,Security Bank and Trust Company,OK - 02
"d $350,000-1 million","OU E. SUITES, LLC",741 N Phillips,OKLAHOMA CITY,OK,73104,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,65,04/09/2020,BancFirst,OK - 05
"d $350,000-1 million","OUTBACK CUSTOMS, LLC",8333 SW  29TH ST,OKLAHOMA CITY,OK,73179,336214,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,61,04/09/2020,"The First National Bank and Trust Co, Chickasha, Oklahoma",OK - 03
"d $350,000-1 million",OVERHEAD DOOR COMPANY OF TULSA,5730 E Admiral Place,TULSA,OK,74115,444190,Corporation,Unanswered,Male Owned,Unanswered,,34,04/04/2020,Mabrey Bank,OK - 01
"d $350,000-1 million","OVERHEAD DOOR OF TULSA RESIDENTIAL, INC.",34 N LAKEWOOD AVE,TULSA,OK,74115,332321,Corporation,Unanswered,Unanswered,Unanswered,,44,04/09/2020,CrossFirst Bank,OK - 01
"d $350,000-1 million",OWASSO PEDIATRICS & ADOLESCENT MEDICINE PLC,100TH ST,OWASSO,OK,74055,621111,Corporation,Unanswered,Unanswered,Unanswered,,10,04/28/2020,First Bank of Owasso,OK - 01
"d $350,000-1 million",OZARK STEEL LLC,908 W 41st St,TULSA,OK,74107,331513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,53,04/28/2020,Prosperity Bank,OK - 01
"d $350,000-1 million",P & K MIDWEST,102 S VAN BUREN ST,ENID,OK,73703,423820,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,212,05/01/2020,The Security National Bank of Enid,OK - 03
"d $350,000-1 million","P AND J, LLC",2311 W WILLOW RD,ENID,OK,73703,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,186,04/06/2020,"Stride Bank, National Association",OK - 03
"d $350,000-1 million","P.A.D.D., INC.",141 NE 70TH,OKLAHOMA CITY,OK,73105,238110,Corporation,Unanswered,Unanswered,Unanswered,,58,04/06/2020,BancFirst,OK - 05
"d $350,000-1 million",PACE/BUTLER CORPORATION,5915 NW 23RD ST,OKLAHOMA CITY,OK,73127,423690,Subchapter S Corporation,White,Male Owned,Non-Veteran,,78,04/05/2020,"BOKF, National Association",OK - 03
"d $350,000-1 million","PALMER CONTINUUM OF CARE, INC",5319 s lewis Ave,TULSA,OK,74105,621420,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,50,04/08/2020,Arvest Bank,OK - 01
"d $350,000-1 million","PALU BEDDING CO., INC.",3800 SW 15TH ST,OKLAHOMA CITY,OK,73108,337910,Corporation,Unanswered,Unanswered,Unanswered,,50,04/28/2020,First Fidelity Bank,OK - 05
"d $350,000-1 million","PANNELL CHIPPING, INC.",4682 S PARK DR.,BROKEN BOW,OK,74728,484110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,39,04/08/2020,McCurtain County National Bank,OK - 02
"d $350,000-1 million",PARRISH DEVAUGHN PLLC,7 S MICKEY MANTLE DR,OKLAHOMA CITY,OK,73104,541110,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,36,04/06/2020,NBC Oklahoma,OK - 05
"d $350,000-1 million","PATHFINDER HDD, LLC",11129 NW 10TH ST,YUKON,OK,73099,237130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,89,04/05/2020,Valliance Bank,OK - 03
"d $350,000-1 million",PATHOLOGY LABORATORY ASSOCIATES INC,4142 S MINGO RD,TULSA,OK,74146,621511,Corporation,Unanswered,Unanswered,Unanswered,,31,04/11/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million","PATHWAY SERVICES, INC.",2701 N HEMLOCK COURT,BROKEN ARROW,OK,74012,488490,Corporation,Unanswered,Unanswered,Unanswered,,51,04/14/2020,The First National Bank and Trust Company of Broken Arrow,OK - 01
"d $350,000-1 million","PATRIOT AUTO GROUP 2, LLC",104 N INDUSTRIAL RD,CHANDLER,OK,74834,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,47,04/06/2020,Arvest Bank,OK - 03
"d $350,000-1 million","PATRIOT AUTO GROUP 3, LLC",916 S George Nigh Expressway,MCALESTER,OK,74501,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,56,04/06/2020,Arvest Bank,OK - 02
"d $350,000-1 million","PATRIOT AUTO GROUP 4, LLC",3800 ADAMS RD,BARTLESVILLE,OK,74006,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,48,04/05/2020,Arvest Bank,OK - 01
"d $350,000-1 million","PATRIOT AUTO GROUP 5, LLC",1540 N ROCKFORD RD,ARDMORE,OK,73401,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,63,04/06/2020,Arvest Bank,OK - 02
"d $350,000-1 million","PATRIOT AUTO GROUP, LLC",2001 SE WASHINGTON BLVD,BARTLESVILLE,OK,74006,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,49,04/06/2020,Arvest Bank,OK - 01
"d $350,000-1 million","PATRIOT ENVIRONMENTAL, L.L.C.",220 CARL HUBBELL BLVD,MEEKER,OK,74855,541620,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/12/2020,BancorpSouth Bank,OK - 03
"d $350,000-1 million","PATRIOT GOLF COURSE, LLC",5790 NORTH PATRIOT DRIVE,OWASSO,OK,74055,713910,Partnership,Unanswered,Unanswered,Unanswered,,113,04/11/2020,BancFirst,OK - 01
"d $350,000-1 million",PATRIOT WELLHEAD LLC,9505 W. Reno,OKLAHOMA CITY,OK,73127,213111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,04/04/2020,First State Bank,OK - 03
"d $350,000-1 million","PAUL DAVIS SYSTEMS OF TULSA, INC",10025 E 44TH PL,TULSA,OK,74146,236118,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,41,04/10/2020,Arvest Bank,OK - 01
"d $350,000-1 million",PAWNEE TRAVEL PLAZA CASINO,400 AGENCY RD,PAWNEE,OK,74058,713210,Corporation,American Indian or Alaska Native,Unanswered,Unanswered,,74,04/27/2020,First Secure Community Bank,OK - 03
"d $350,000-1 million",PAWNEE TRIBAL DEVELOPMENT CORPORATION,400 AGENCY RD,PAWNEE,OK,74058,921150,Corporation,American Indian or Alaska Native,Unanswered,Unanswered,,84,04/11/2020,First Secure Community Bank,OK - 03
"d $350,000-1 million","PAYNE-HUBER ENGINEERING, INC.",8211 E. Regal Place Suite 104,TULSA,OK,74133,541330,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,,16,04/08/2020,Firstar Bank,OK - 01
"d $350,000-1 million",PAYROLL & HR SERVICES OF OKLAHOMA LTD,3720 E 2ND ST,EDMOND,OK,73034,541214,Corporation,Unanswered,Female Owned,Non-Veteran,,130,04/10/2020,McClain Bank,OK - 03
"d $350,000-1 million","PD-RX PHARMACEUTICALS, INC.",727 N. Ann Arbor Ave,OKLAHOMA CITY,OK,73127,424210,Corporation,Unanswered,Unanswered,Unanswered,,70,04/06/2020,"BOKF, National Association",OK - 03
"d $350,000-1 million",PEACHTREE LODGING ASSOCIATES LLC,3048 N Grand Blvd,OKLAHOMA CITY,OK,73107,721110,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,63,04/14/2020,The First State Bank,OK - 05
"d $350,000-1 million","PEARL MANAGEMENT, LLC",4225 SW 44TH STREET,OKLAHOMA CITY,OK,73119,485999,Corporation,Unanswered,Unanswered,Unanswered,,83,04/11/2020,BancFirst,OK - 05
"d $350,000-1 million","PEDIATRIC AND ADOLESCENT CARE, LLP",2000 S WHEELING AVE,TULSA,OK,74104,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,20,04/15/2020,First Oklahoma Bank,OK - 01
"d $350,000-1 million",PEDIATRIC CARDIOLOGY OF OKLAHOMA PLLC,6151 S YALE AVE,TULSA,OK,74136,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/06/2020,"Triad Bank, National Association",OK - 01
"d $350,000-1 million",PEDIATRIC OPHTHALMOLOGY INC,"4606 East 67th St, Bldg 7 Ste 400",TULSA,OK,74136,621111,Corporation,Unanswered,Unanswered,Unanswered,,37,04/06/2020,BancFirst,OK - 01
"d $350,000-1 million",PEEVY CONSTRUCTION SERVICES,15681 E 590 RD,INOLA,OK,74036,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,04/04/2020,Central Bank of Oklahoma,OK - 01
"d $350,000-1 million",PEOPLE SOURCE INDUSTRIAL STAFFING LLC,7320 N. Classen Blvd.,OKLAHOMA CITY,OK,73116,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/06/2020,First United Bank and Trust Company,OK - 05
"d $350,000-1 million","PEOPLE'S CHURCH, INC.",800 E. Britton Rd,OKLAHOMA CITY,OK,73114,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,46,04/06/2020,"BOKF, National Association",OK - 05
"d $350,000-1 million","PERFORMANCE OPERATING COMPANY, LLC",97 State Highway 123,BARNSDALL,OK,74002,213111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/04/2020,Blue Sky Bank,OK - 03
"d $350,000-1 million",PERFORMANCE.ROOFING INCORPORATE,1411 E 3RD ST,TULSA,OK,74120,238160,Corporation,White,Female Owned,Unanswered,,46,04/06/2020,Mabrey Bank,OK - 01
"d $350,000-1 million",PERRY GREEN VALLEY NURSING HOME LLC,1103 BIRCH ST,PERRY,OK,73077,623312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,76,04/09/2020,Exchange Bank and Trust Company,OK - 03
"d $350,000-1 million","PETE'S PLACE OF KREBS, INC.",120 Southwest 8th Street,KREBS,OK,74554,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,43,04/05/2020,First National Bank & Trust Company of McAlester,OK - 02
"d $350,000-1 million","PETERS & CHANDLER, P.C.",2601 NW EXPRESSWAY STE 600-EAST,OKLAHOMA CITY,OK,73112,541211,Corporation,Unanswered,Unanswered,Unanswered,,27,04/08/2020,First Liberty Bank,OK - 05
"d $350,000-1 million","PETRO LAND SERVICES, LLC",10400 VINEYARD BLVD SUITE C,OKLAHOMA CITY,OK,73120,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,37,04/06/2020,Origin Bank,OK - 05
"d $350,000-1 million","PETROLEUM CLUB OF OKLAHOMA CITY, INC",100 N Broadway Suite 3400,OKLAHOMA CITY,OK,73102,813410,Corporation,Unanswered,Unanswered,Unanswered,,131,04/06/2020,BancFirst,OK - 05
"d $350,000-1 million",PETROSOURCE LLC,3211 S LAKEWOOD AVE,TULSA,OK,74135,541219,Partnership,American Indian or Alaska Native,Unanswered,Non-Veteran,,24,04/14/2020,"BOKF, National Association",OK - 01
"d $350,000-1 million",PHARMACYCARE USA OF ADDISON,PO BOX 365,HYDRO,OK,73048,446110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/06/2020,Bank of Western Oklahoma,OK - 03
"d $350,000-1 million",PHARMACYCARE USA OF SAN MARCOS,PO BOX 431,HYDRO,OK,73048,446110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/06/2020,Bank of Western Oklahoma,OK - 03
"d $350,000-1 million",PHARMCAREUSA OF EDISON,PO BOX 12,HYDRO,OK,73048,446110,Corporation,Unanswered,Unanswered,Unanswered,,50,04/06/2020,Bank of Western Oklahoma,OK - 03
"d $350,000-1 million",PHARMCAREUSA OF GREATER PHOENIX LLC,10 PO BOX; ARAPAHO AVE,HYDRO,OK,73048,446110,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,50,04/09/2020,Great Plains National Bank,OK - 03
"d $350,000-1 million",PHARMOLOGY LEASING,1905 Danfield Drive,NORMAN,OK,73072,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55,04/13/2020,MidFirst Bank,OK - 04
"d $350,000-1 million",PHASE 2 DEVELOPMENT LLC,3324 NW 135th St,OKLAHOMA CITY,OK,73120,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/08/2020,Bank of Commerce,OK - 05
"d $350,000-1 million",PHC HEALTH LLC,2831 NW 59th Street,OKLAHOMA CITY,OK,73112,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/08/2020,CrossFirst Bank,OK - 05
"d $350,000-1 million",PHIL-GOOD PRODUCTS INC,3500 W RENO AVE,OKLAHOMA CITY,OK,73107,326199,Corporation,Unanswered,Unanswered,Unanswered,,32,04/07/2020,First Bethany Bank & Trust,OK - 05
"d $350,000-1 million",PHILBROOK MUSEUM OF ART,2727 S ROCKFORD RD,TULSA,OK,74114,712110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,93,04/04/2020,Blue Sky Bank,OK - 01
"d $350,000-1 million",PHOENIX ELECTRICAL,4520 Enterprise Place,OKLAHOMA CITY,OK,73128,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/13/2020,"Readycap Lending, LLC",OK - 03
"d $350,000-1 million","PHOENIX REHAB, LLC",1021 Charles Page Blvd Suite 200,TULSA,OK,74127,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,49,04/14/2020,BancFirst,OK - 01
"d $350,000-1 million",PHYCON INC.,4401 W. Memorial Rd. Suite 121,OKLAHOMA CITY,OK,73142,561110,Corporation,Unanswered,Female Owned,Unanswered,,60,04/29/2020,The Citizens Bank of Edmond,OK - 05
"d $350,000-1 million",PHYSICIANS SURGICAL CENTER LLC,3121 S TELEPHONE RD,MOORE,OK,73160,621493,Corporation,Unanswered,Unanswered,Unanswered,,60,04/09/2020,First-Citizens Bank & Trust Company,OK - 04
"d $350,000-1 million","PINE TELEPHONE, INC.",210 N. PARK DR.,BROKEN BOW,OK,74728,517311,Corporation,Unanswered,Unanswered,Unanswered,,103,04/08/2020,McCurtain County National Bank,OK - 02
"d $350,000-1 million","PINNACLE BUSINESS SYSTEMS, INC.","3824 S Blvd, Ste 200",EDMOND,OK,73013,541512,Corporation,Unanswered,Unanswered,Unanswered,,40,04/06/2020,CrossFirst Bank,OK - 05
"d $350,000-1 million","PINNACLE CONSULTING MANAGEMENT GROUP, INC.",4516 NW  36TH ST Ste 100,OKLAHOMA CITY,OK,73122,541618,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,61,04/10/2020,RCB Bank,OK - 05
"d $350,000-1 million",PINSON WELL LOGGING,25 N COOLEY DR,OKLAHOMA CITY,OK,73127,213112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36,04/13/2020,Arvest Bank,OK - 03
"d $350,000-1 million",PIPEGLOVE LLC,9535 E  51ST ST,TULSA,OK,74145,213112,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,61,04/05/2020,Security Bank,OK - 01
"d $350,000-1 million","PIPPIN BROTHERS, INC.",207 SE D Ave,LAWTON,OK,73501,238220,Corporation,Unanswered,Unanswered,Unanswered,,47,04/04/2020,Arvest Bank,OK - 04
"d $350,000-1 million",PITZER'S LAWN MANAGEMENT INC,11401 S BROADWAY,EDMOND,OK,73034,561730,Corporation,Unanswered,Unanswered,Unanswered,,72,04/28/2020,BancFirst,OK - 03
"d $350,000-1 million","PIVOT, INC.",201 NE 50th St,OKLAHOMA CITY,OK,73105,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,44,04/10/2020,BancFirst,OK - 05
"d $350,000-1 million",PIXLEY LUMBER,715 WEST WILL ROGERS BLVD,CLAREMORE,OK,74017,444190,Corporation,Unanswered,Unanswered,Unanswered,,44,04/07/2020,BancFirst,OK - 02
"d $350,000-1 million","PIZZA HUT OF DURANT, INC",1529 24TH AVE SW,NORMAN,OK,73072,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,86,04/04/2020,Armstrong Bank,OK - 04
"d $350,000-1 million",PLANTERS COOPERATIVE ASSOCIATION,501 ROCK ISLAND AVE,LONE WOLF,OK,73655,424910,Corporation,Unanswered,Unanswered,Unanswered,,85,04/14/2020,CoBank ACB,OK - 03
