Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Age in Years,Breed,Color
A664049,*Romeo,10/9/2013 13:12,10/9/2013 13:12,9/28/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.031643836,Chihuahua Shorthair Mix,Brown
A664572,Twilight,10/9/2013 13:13,10/9/2013 13:13,10/5/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.015207382,Chihuahua Shorthair Mix,White/Brown
A664068,,10/9/2013 13:14,10/9/2013 13:14,7/6/2013,Transfer,Partner,Cat,Spayed Female,3 months,0.261784627,Domestic Shorthair Mix,White/Blue Tabby
A664070,,10/9/2013 13:15,10/9/2013 13:15,7/6/2013,Transfer,Partner,Cat,Neutered Male,3 months,0.26178653,Domestic Shorthair Mix,White/Blue
A657197,Gecko,10/9/2013 13:15,10/9/2013 13:15,5/12/2013,Adoption,,Cat,Neutered Male,4 months,0.412471461,Domestic Shorthair Mix,Brown Tabby
A664071,,10/9/2013 13:16,10/9/2013 13:16,7/6/2013,Transfer,Partner,Cat,Neutered Male,3 months,0.261788432,Domestic Shorthair Mix,White/Black
A664593,Chiquilla,10/9/2013 13:39,10/9/2013 13:39,10/5/2011,Adoption,,Dog,Spayed Female,2 years,2.015256849,Chihuahua Shorthair Mix,Brown/White
A664686,Rock,10/9/2013 13:46,10/9/2013 13:46,10/7/2011,Euthanasia,Suffering,Dog,Intact Male,2 years,2.009790715,Chihuahua Shorthair Mix,Black/Black
A664683,,10/9/2013 13:58,10/9/2013 13:58,10/7/2009,Euthanasia,Suffering,Cat,Intact Male,4 years,4.009813546,Domestic Shorthair Mix,Black
A663168,Archer,10/9/2013 15:32,10/9/2013 15:32,3/13/2012,Return to Owner,,Dog,Neutered Male,1 year,1.577115677,Catahoula Mix,Brown Merle
A664830,,10/9/2013 15:59,10/9/2013 15:59,10/9/2012,Euthanasia,Suffering,Other,Unknown,1 year,1.001824581,Raccoon Mix,Brown/Black
A660611,*Cookie,10/9/2013 16:04,10/9/2013 16:04,8/9/2010,Adoption,,Dog,Spayed Female,3 years,3.171697108,Pit Bull Mix,Black/White
A664733,,10/9/2013 16:34,10/9/2013 16:34,8/8/2013,Transfer,Partner,Cat,Intact Female,2 months,0.171754186,Domestic Shorthair Mix,Brown Tabby/White
A664734,,10/9/2013 16:34,10/9/2013 16:34,8/8/2013,Transfer,Partner,Cat,Intact Male,2 months,0.171754186,Domestic Shorthair Mix,Brown Tabby/White
A663722,Jj,10/9/2013 16:38,10/9/2013 16:38,7/16/2013,Transfer,Partner,Cat,Neutered Male,2 months,0.234775495,Domestic Shorthair Mix,Black
A663723,Tornado,10/9/2013 16:42,10/9/2013 16:42,7/16/2013,Transfer,Partner,Cat,Neutered Male,2 months,0.234783105,Domestic Shorthair Mix,Brown Tabby
A664277,*Pogo,10/9/2013 16:50,10/9/2013 16:50,1/1/2013,Adoption,,Dog,Spayed Female,9 months,0.771784627,Chihuahua Shorthair Mix,White/Brown
A664799,,10/9/2013 17:04,10/9/2013 17:04,9/9/2013,Transfer,Partner,Cat,Intact Female,4 weeks,0.08414003,Domestic Shorthair Mix,Brown Tabby/White
A664831,,10/9/2013 17:04,10/9/2013 17:04,9/24/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.04304414,Domestic Shorthair Mix,Blue
A664425,Simba,10/9/2013 17:26,10/9/2013 17:26,8/3/2013,Adoption,,Dog,Neutered Male,2 months,0.18555175,Chihuahua Shorthair Mix,White/Tan
A664426,Canelo,10/9/2013 17:27,10/9/2013 17:27,8/3/2013,Adoption,,Dog,Neutered Male,2 months,0.185553653,Chihuahua Shorthair Mix,Tan
A664461,,10/9/2013 17:31,10/9/2013 17:31,7/12/2013,Adoption,,Dog,Neutered Male,2 months,0.245835236,Dachshund Wirehair Mix,Tan
A664528,Glinda,10/9/2013 17:36,10/9/2013 17:36,10/4/2011,Adoption,,Dog,Spayed Female,2 years,2.018447489,Toy Poodle Mix,White
A664596,Ellie,10/9/2013 17:38,10/9/2013 17:38,5/6/2013,Adoption,,Dog,Spayed Female,5 months,0.429410198,Great Pyrenees Mix,White
A657774,Ottis,10/9/2013 17:45,10/9/2013 17:45,6/2/2012,Return to Owner,,Dog,Neutered Male,1 year,1.355450913,Labrador Retriever Mix,Black/White
A664539,Jj,10/9/2013 18:07,10/9/2013 18:07,10/5/2011,Adoption,,Dog,Neutered Male,2 years,2.015766743,Chihuahua Shorthair Mix,Brown/Black
A664421,*Daisy,10/9/2013 18:16,10/9/2013 18:16,10/3/2008,Transfer,Partner,Dog,Spayed Female,5 years,5.021263318,Chihuahua Shorthair Mix,Brown
A664807,Lily,10/9/2013 18:24,10/9/2013 18:24,10/9/2004,Return to Owner,,Dog,Spayed Female,9 years,9.007579909,Cocker Spaniel,Chocolate/Gray
A664834,,10/9/2013 18:35,10/9/2013 18:35,10/9/2012,Euthanasia,Suffering,Dog,Intact Female,1 year,1.002121385,Chihuahua Shorthair Mix,Tan
A660822,*Maddie,10/9/2013 18:36,10/9/2013 18:36,7/12/2013,Adoption,Foster,Cat,Spayed Female,2 months,0.245958904,Domestic Shorthair Mix,Brown Tabby/White
A632333,Charcoal,10/9/2013 18:38,10/9/2013 18:38,5/14/2012,Adoption,,Dog,Neutered Male,1 year,1.407606545,Labrador Retriever Mix,Blue/White
A661850,*Gucci,10/9/2013 18:41,10/9/2013 18:41,5/26/2013,Adoption,,Cat,Spayed Female,4 months,0.37473554,Domestic Shorthair Mix,Orange Tabby
A664076,*Henry,10/9/2013 18:42,10/9/2013 18:42,8/18/2013,Transfer,Partner,Cat,Intact Male,1 month,0.144600457,Domestic Shorthair Mix,Silver Tabby
A664077,*Hannah,10/9/2013 18:44,10/9/2013 18:44,8/18/2013,Transfer,Partner,Cat,Intact Female,1 month,0.144604262,Domestic Shorthair Mix,Silver Tabby
A664485,*Peaches,10/9/2013 18:44,10/9/2013 18:44,8/4/2013,Transfer,Partner,Cat,Intact Female,2 months,0.182960426,Domestic Shorthair Mix,Torbie
A664486,*Taylor,10/9/2013 18:46,10/9/2013 18:46,8/4/2013,Transfer,Partner,Cat,Intact Female,2 months,0.182964231,Domestic Shorthair Mix,Orange Tabby
A664487,*Chris Angel,10/9/2013 18:47,10/9/2013 18:47,8/4/2013,Transfer,Partner,Cat,Intact Male,2 months,0.182966134,Domestic Shorthair Mix,Orange Tabby
A664638,*Minerva,10/9/2013 18:48,10/9/2013 18:48,8/15/2013,Transfer,Partner,Cat,Intact Female,1 month,0.15283105,Domestic Longhair Mix,Black Smoke
A654782,Phoebe,10/9/2013 18:54,10/9/2013 18:54,10/25/2012,Adoption,,Dog,Spayed Female,11 months,0.958321918,Pointer/Labrador Retriever,White/Black
A664193,*Carrie,10/9/2013 19:07,10/9/2013 19:07,8/8/2013,Euthanasia,Suffering,Cat,Intact Female,2 months,0.172045282,Domestic Shorthair Mix,Brown Tabby
A664835,,10/9/2013 19:28,10/9/2013 19:28,9/23/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.046057839,Siamese Mix,Lynx Point
A664837,,10/9/2013 19:29,10/9/2013 19:29,9/23/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.046059741,Domestic Shorthair Mix,Black
A664838,,10/9/2013 19:29,10/9/2013 19:29,9/23/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.046059741,Siamese Mix,Lynx Point
A664854,,10/10/2013 9:49,10/10/2013 9:49,4/10/2013,Disposal,,Other,Unknown,6 months,0.502490487,Bat Mix,Brown
A664853,,10/10/2013 9:50,10/10/2013 9:50,4/10/2013,Disposal,,Other,Unknown,6 months,0.50249239,Bat Mix,Brown
A649385,*Dusty,10/10/2013 9:59,10/10/2013 9:59,3/14/2009,Euthanasia,Aggressive,Dog,Spayed Female,4 years,4.579221842,Pit Bull Mix,Blue/White
A658212,Bobo,10/10/2013 10:31,10/10/2013 10:31,6/7/2013,Adoption,Foster,Dog,Neutered Male,4 months,0.343666286,Chihuahua Shorthair Mix,Buff
A636828,Boss,10/10/2013 11:05,10/10/2013 11:05,9/10/2011,Euthanasia,Aggressive,Dog,Intact Male,2 years,2.086196728,Pit Bull Mix,Blue/White
A659642,*Trevor,10/10/2013 11:18,10/10/2013 11:18,7/27/2011,Transfer,Partner,Dog,Neutered Male,2 years,2.209509132,Dachshund/Basset Hound,Brown Brindle
A645447,Juanito,10/10/2013 11:18,10/10/2013 11:18,1/6/2009,Transfer,Partner,Dog,Neutered Male,4 years,4.76293379,Boxer Mix,Red/White
A664504,Matilda,10/10/2013 11:19,10/10/2013 11:19,4/4/2013,Transfer,Partner,Dog,Spayed Female,6 months,0.519100076,Pit Bull Mix,White/Blue
A664635,Annie,10/10/2013 11:42,10/10/2013 11:42,10/6/2011,Transfer,Partner,Dog,Intact Female,2 years,2.015034247,Shih Tzu,Sable
A664637,Willow,10/10/2013 11:42,10/10/2013 11:42,10/6/2011,Transfer,Partner,Dog,Intact Female,2 years,2.015034247,Pekingese,Tan/White
A664634,Sandy,10/10/2013 11:42,10/10/2013 11:42,10/6/2011,Transfer,Partner,Dog,Intact Female,2 years,2.015034247,Shih Tzu/Havanese,White/Buff
A664519,,10/10/2013 11:45,10/10/2013 11:45,10/4/2007,Euthanasia,Aggressive,Dog,Intact Male,6 years,6.023259132,Carolina Dog Mix,Sable
A664872,,10/10/2013 11:45,10/10/2013 11:45,10/10/2010,Euthanasia,Suffering,Cat,Neutered Male,3 years,3.00408105,Domestic Shorthair Mix,Black
A646163,*Emmaline,10/10/2013 11:59,10/10/2013 11:59,11/18/2012,Transfer,Partner,Dog,Spayed Female,10 months,0.894518645,German Shepherd/Alaskan Husky,Red
A601869,Otto,10/10/2013 12:00,10/10/2013 12:00,4/10/2011,Transfer,Partner,Cat,Neutered Male,2 years,2.505479452,Domestic Shorthair Mix,Black
A662195,*Ruby Q,10/10/2013 12:00,10/10/2013 12:00,8/30/2011,Transfer,Partner,Cat,Spayed Female,2 years,2.116438356,Domestic Shorthair Mix,Brown Tabby/White
A663159,Toby,10/10/2013 12:00,10/10/2013 12:00,1/13/2013,Transfer,Partner,Cat,Neutered Male,8 months,0.74109589,Domestic Shorthair Mix,Orange Tabby
A664020,*Miss Gray,10/10/2013 12:01,10/10/2013 12:01,9/27/2012,Transfer,Partner,Cat,Spayed Female,1 year,1.036988204,Domestic Shorthair Mix,Blue
A664724,Banjo,10/10/2013 12:02,10/10/2013 12:02,4/8/2012,Transfer,Partner,Other,Intact Male,1 year,1.508222983,Ferret,Gray/White
A664027,*Tessa,10/10/2013 12:04,10/10/2013 12:04,9/27/2011,Euthanasia,Behavior,Dog,Intact Female,2 years,2.039733638,Pit Bull Mix,White/Brown
A662830,Bella,10/10/2013 12:22,10/10/2013 12:22,10/8/2012,Transfer,Partner,Dog,Spayed Female,1 year,1.006891172,Border Terrier Mix,Red/White
A664877,,10/10/2013 12:23,10/10/2013 12:23,10/10/2011,Euthanasia,Rabies Risk,Other,Unknown,2 years,2.004153349,Bat Mix,Brown
A664093,Katrina,10/10/2013 12:31,10/10/2013 12:31,9/29/2008,Adoption,,Dog,Spayed Female,5 years,5.034305556,Rottweiler Mix,Black/Tan
A664507,,10/10/2013 12:37,10/10/2013 12:37,12/4/2012,Transfer,Partner,Dog,Intact Female,10 months,0.850755327,Dachshund/Chihuahua Shorthair,Brown/Tan
A664813,,10/10/2013 13:07,10/10/2013 13:07,10/9/2005,Transfer,Partner,Dog,Intact Female,8 years,8.009716514,English Springer Spaniel Mix,Liver/White
A664175,*Daisy,10/10/2013 13:10,10/10/2013 13:10,9/30/2009,Adoption,,Dog,Spayed Female,4 years,4.03164003,Basset Hound/Labrador Retriever,Tricolor
A663483,Brownie,10/10/2013 13:16,10/10/2013 13:16,9/19/2010,Transfer,Partner,Cat,Spayed Female,3 years,3.061788432,Domestic Shorthair Mix,Brown Tabby/White
A664372,*Halloween,10/10/2013 13:16,10/10/2013 13:16,7/11/2013,Transfer,Partner,Cat,Intact Male,2 months,0.250829528,Domestic Shorthair Mix,Black
A664127,*Caroline,10/10/2013 13:16,10/10/2013 13:16,8/22/2013,Transfer,Partner,Cat,Intact Female,1 month,0.135761035,Domestic Shorthair Mix,Calico
A660750,*Zinnia,10/10/2013 13:17,10/10/2013 13:17,7/11/2013,Transfer,Partner,Cat,Intact Female,2 months,0.250831431,Domestic Shorthair Mix,White/Blue
A664256,*Donnie,10/10/2013 13:17,10/10/2013 13:17,10/1/1996,Transfer,Partner,Cat,Neutered Male,17 years,17.0371328,Domestic Shorthair Mix,Brown Tabby/White
A664168,Angel,10/10/2013 13:17,10/10/2013 13:17,9/30/1998,Transfer,Partner,Cat,Neutered Male,15 years,15.03987253,Domestic Shorthair Mix,Black Smoke
A660752,*Zeek,10/10/2013 13:18,10/10/2013 13:18,7/11/2013,Transfer,Partner,Cat,Intact Male,2 months,0.250833333,Domestic Shorthair Mix,Brown Tabby/White
A664373,October,10/10/2013 13:19,10/10/2013 13:19,7/2/2013,Transfer,Partner,Cat,Intact Female,3 months,0.27549277,Domestic Shorthair Mix,Torbie
A664573,,10/10/2013 14:02,10/10/2013 14:02,6/23/2013,Adoption,,Cat,Spayed Female,3 months,0.300232116,Domestic Shorthair Mix,Brown Tabby
A664577,,10/10/2013 14:02,10/10/2013 14:02,6/23/2013,Adoption,,Cat,Neutered Male,3 months,0.300232116,Domestic Shorthair Mix,Black
A664574,,10/10/2013 14:06,10/10/2013 14:06,6/23/2013,Adoption,,Cat,Neutered Male,3 months,0.300239726,Domestic Shorthair Mix,Brown Tabby
A664575,,10/10/2013 14:06,10/10/2013 14:06,5/5/2013,Adoption,,Cat,Spayed Female,5 months,0.434486301,Domestic Shorthair Mix,Orange Tabby
A664576,,10/10/2013 14:06,10/10/2013 14:06,5/5/2013,Adoption,,Cat,Neutered Male,5 months,0.434486301,Domestic Shorthair Mix,Orange Tabby
A664571,,10/10/2013 14:07,10/10/2013 14:07,10/5/2011,Adoption,,Cat,Spayed Female,2 years,2.018049848,Domestic Shorthair Mix,Torbie
A628590,*Jackson,10/10/2013 14:27,10/10/2013 14:27,5/30/2008,Adoption,Foster,Dog,Neutered Male,5 years,5.368772831,Australian Cattle Dog Mix,White/Black
A664595,,10/10/2013 14:40,10/10/2013 14:40,7/5/2013,Transfer,Partner,Dog,Intact Male,3 months,0.267427702,Labrador Retriever Mix,Brown Brindle
A662308,*Benny,10/10/2013 14:43,10/10/2013 14:43,9/2/2011,Transfer,Partner,Dog,Intact Male,2 years,2.1085293,Chihuahua Shorthair Mix,White
A663937,,10/10/2013 14:59,10/10/2013 14:59,8/11/2013,Transfer,Partner,Cat,Intact Male,1 month,0.166093988,Domestic Shorthair Mix,Black/White
A662196,*Beth,10/10/2013 15:00,10/10/2013 15:00,8/30/2012,Transfer,Partner,Cat,Spayed Female,1 year,1.114041096,Domestic Shorthair Mix,Torbie
A642732,*Ashley,10/10/2013 15:00,10/10/2013 15:00,10/16/2012,Transfer,Partner,Cat,Spayed Female,11 months,0.985273973,Domestic Shorthair Mix,Tortie
A662197,*Meg,10/10/2013 15:00,10/10/2013 15:00,8/30/2012,Transfer,Partner,Cat,Spayed Female,1 year,1.114041096,Domestic Shorthair Mix,Blue
A653571,T-Che,10/10/2013 15:15,10/10/2013 15:15,5/8/2010,Adoption,,Dog,Neutered Male,3 years,3.429138128,Chihuahua Longhair Mix,Brown/White
A663572,*Starla,10/10/2013 15:16,10/10/2013 15:16,9/21/2010,Transfer,Partner,Dog,Spayed Female,3 years,3.056537291,Anatol Shepherd Mix,White/Brown
A664147,Bella,10/10/2013 15:32,10/10/2013 15:32,9/30/2011,Return to Owner,,Dog,Intact Female,2 years,2.031910198,Chihuahua Longhair Mix,White/Brown
A664148,,10/10/2013 15:32,10/10/2013 15:32,9/23/2013,Return to Owner,,Dog,Unknown,2 weeks,0.048348554,Chihuahua Shorthair Mix,Brown
A664897,,10/10/2013 16:01,10/10/2013 16:01,4/10/2013,Euthanasia,Rabies Risk,Other,Unknown,6 months,0.50319825,Bat Mix,Gray/Brown
A664898,,10/10/2013 16:04,10/10/2013 16:04,4/10/2013,Euthanasia,Rabies Risk,Other,Unknown,6 months,0.503203957,Bat Mix,Gray
A663623,*Monkey,10/10/2013 16:25,10/10/2013 16:25,6/6/2013,Adoption,,Cat,Neutered Male,4 months,0.347079528,Domestic Shorthair Mix,Black
A664439,Batty,10/10/2013 16:39,10/10/2013 16:39,6/3/2013,Adoption,,Dog,Neutered Male,4 months,0.355325342,Dachshund/Rat Terrier,White/Black
A655041,*Cayenne,10/10/2013 16:53,10/10/2013 16:53,4/28/2013,Transfer,Partner,Cat,Intact Female,5 months,0.453982116,Domestic Shorthair Mix,Orange Tabby/White
A655040,*Blaze,10/10/2013 16:53,10/10/2013 16:53,4/28/2013,Transfer,Partner,Cat,Intact Male,5 months,0.453982116,Domestic Shorthair Mix,Orange Tabby/White
A663977,*Katy,10/10/2013 16:54,10/10/2013 16:54,7/27/2013,Transfer,Partner,Cat,Intact Female,2 months,0.207408676,Domestic Shorthair Mix,Silver Tabby
A655043,*Olive,10/10/2013 16:54,10/10/2013 16:54,4/28/2013,Transfer,Partner,Cat,Intact Female,5 months,0.453984018,Domestic Shorthair Mix,Orange Tabby/White
A664878,,10/10/2013 16:58,10/10/2013 16:58,10/10/2011,Transfer,SCRP,Cat,Intact Female,2 years,2.00467656,Domestic Shorthair Mix,Calico
A663527,Taboo,10/10/2013 16:58,10/10/2013 16:58,9/20/2008,Transfer,SCRP,Cat,Spayed Female,5 years,5.059471081,Domestic Shorthair Mix,Tortie
A664726,,10/10/2013 16:58,10/10/2013 16:58,6/8/2013,Transfer,SCRP,Cat,Intact Male,4 months,0.341662861,Domestic Shorthair Mix,Black
A664797,,10/10/2013 16:58,10/10/2013 16:58,10/9/2010,Transfer,SCRP,Cat,Neutered Male,3 years,3.007416286,Domestic Shorthair Mix,Blue Tabby
A664879,,10/10/2013 16:59,10/10/2013 16:59,10/10/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.001938737,Domestic Shorthair Mix,Orange Tabby/White
A664464,,10/10/2013 16:59,10/10/2013 16:59,10/3/2012,Transfer,Partner,Dog,Intact Male,1 year,1.021116819,Dachshund Longhair Mix,Tan
A664874,Bucky,10/10/2013 17:01,10/10/2013 17:01,10/10/2008,Transfer,Partner,Dog,Neutered Male,5 years,5.004682268,Chihuahua Shorthair Mix,White/Brown
A659894,Reesie,10/10/2013 17:01,10/10/2013 17:01,7/31/2012,Return to Owner,,Dog,Spayed Female,1 year,1.19646309,Australian Cattle Dog Mix,Tricolor
A664875,Lucy,10/10/2013 17:04,10/10/2013 17:04,10/10/2008,Transfer,Partner,Dog,Spayed Female,5 years,5.004687976,Chihuahua Shorthair Mix,White/Black
A664139,Sweet Pea,10/10/2013 17:07,10/10/2013 17:07,9/30/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.032090944,Chihuahua Shorthair Mix,Tan
A664616,Netty,10/10/2013 17:08,10/10/2013 17:08,10/6/2006,Transfer,Partner,Dog,Intact Female,7 years,7.018394216,Chihuahua Shorthair Mix,Black
A664794,,10/10/2013 17:08,10/10/2013 17:08,8/25/2013,Euthanasia,Suffering,Cat,Intact Male,1 month,0.127983257,Domestic Shorthair Mix,White/Orange Tabby
A661782,Penelope,10/10/2013 17:11,10/10/2013 17:11,8/25/2006,Adoption,,Dog,Spayed Female,7 years,7.133468417,Chihuahua Shorthair Mix,Tricolor
A664017,*Kneeko,10/10/2013 17:11,10/10/2013 17:11,7/20/2013,Adoption,,Cat,Neutered Male,2 months,0.226619102,Domestic Shorthair Mix,Black
A664022,*Black Fire,10/10/2013 17:11,10/10/2013 17:11,7/20/2013,Adoption,,Cat,Spayed Female,2 months,0.226619102,Domestic Shorthair Mix,Black
A664825,Jordan,10/10/2013 17:14,10/10/2013 17:14,10/9/2011,Transfer,Partner,Dog,Intact Male,2 years,2.007446728,Cocker Spaniel Mix,Buff/Tan
A656696,*Angel,10/10/2013 17:21,10/10/2013 17:21,6/18/2011,Transfer,Partner,Cat,Spayed Female,2 years,2.317049087,Domestic Shorthair Mix,Brown Tabby
A662380,*Kelee,10/10/2013 17:23,10/10/2013 17:23,3/3/2012,Transfer,Partner,Cat,Spayed Female,1 year,1.607463851,Domestic Shorthair Mix,Brown Tabby/White
A654567,*Trapper,10/10/2013 17:29,10/10/2013 17:29,2/7/2013,Transfer,Partner,Cat,Neutered Male,8 months,0.673228691,Domestic Shorthair Mix,Blue Tabby/White
A662053,Ripley,10/10/2013 17:30,10/10/2013 17:30,8/30/2012,Transfer,Partner,Cat,Spayed Female,1 year,1.114326484,Domestic Shorthair Mix,Tortie
A664618,Sierra,10/10/2013 17:31,10/10/2013 17:31,7/16/2013,Adoption,,Dog,Spayed Female,2 months,0.237616058,Chihuahua Shorthair Mix,Black/Tan
A664564,Remi,10/10/2013 17:41,10/10/2013 17:41,7/19/2013,Adoption,,Dog,Spayed Female,2 months,0.229415906,Labrador Retriever Mix,Black/White
A664097,Remmy,10/10/2013 17:42,10/10/2013 17:42,12/29/2012,Transfer,Partner,Dog,Intact Female,9 months,0.782842466,Pointer Mix,Black/White
A659671,*Carter,10/10/2013 17:49,10/10/2013 17:49,7/28/2012,Return to Owner,,Dog,Neutered Male,1 year,1.204773592,Redbone Hound Mix,Red
A644592,*Zelda,10/10/2013 18:14,10/10/2013 18:14,10/14/2012,Return to Owner,,Dog,Spayed Female,11 months,0.991122527,Labrador Retriever Mix,Black
A664352,*Romeo,10/10/2013 18:16,10/10/2013 18:16,10/2/2011,Transfer,Partner,Dog,Neutered Male,2 years,2.02674277,Shetland Sheepdog/Italian Greyhound,Sable/White
A664503,,10/10/2013 18:17,10/10/2013 18:17,7/20/2013,Adoption,,Cat,Neutered Male,2 months,0.226744673,Domestic Shorthair Mix,Black/White
A664501,Mittens,10/10/2013 18:17,10/10/2013 18:17,7/20/2013,Adoption,,Cat,Neutered Male,2 months,0.226744673,Domestic Shorthair Mix,Black/White
A664491,,10/10/2013 18:44,10/10/2013 18:44,8/28/2013,Died,In Kennel,Dog,Intact Male,1 month,0.119946728,Labrador Retriever Mix,Black
A664184,,10/10/2013 18:44,10/10/2013 18:44,9/8/2013,Died,In Kennel,Cat,Intact Male,4 weeks,0.089809741,Domestic Shorthair Mix,Black/White
A664786,,10/10/2013 18:45,10/10/2013 18:45,4/8/2013,Disposal,,Other,Unknown,6 months,0.508989726,Bat Mix,Brown
A664004,*Selene,10/10/2013 18:58,10/10/2013 18:58,3/27/2013,Adoption,,Cat,Spayed Female,6 months,0.541891172,Domestic Shorthair Mix,Torbie
A664000,*Nosey,10/10/2013 18:58,10/10/2013 18:58,4/27/2013,Adoption,,Cat,Neutered Male,5 months,0.456959665,Domestic Shorthair Mix,Brown Tabby
A664923,,10/11/2013 10:09,10/11/2013 10:09,10/10/2011,Disposal,,Other,Unknown,2 years,2.006638128,Bat Mix,Brown
A659836,*Thelma,10/11/2013 10:10,10/11/2013 10:10,7/23/2013,Adoption,Foster,Dog,Spayed Female,2 months,0.220338661,Labrador Retriever/Doberman Pinsch,Black
A664929,,10/11/2013 10:43,10/11/2013 10:43,4/11/2013,Euthanasia,Rabies Risk,Other,Unknown,6 months,0.502593227,Bat Mix,Brown
A664053,*Ed,10/11/2013 11:29,10/11/2013 11:29,3/28/2012,Transfer,Partner,Dog,Intact Male,1 year,1.54103691,Pit Bull Mix,Tan
A655702,Izzy,10/11/2013 11:29,10/11/2013 11:29,6/4/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.357475266,Labrador Retriever/Rottweiler,Black
A657713,*Lulu,10/11/2013 11:30,10/11/2013 11:30,7/1/2009,Transfer,Partner,Dog,Spayed Female,4 years,4.283504566,Labrador Retriever Mix,Black/White
A659694,Princess,10/11/2013 11:33,10/11/2013 11:33,1/28/2013,Transfer,Partner,Dog,Spayed Female,8 months,0.702688356,Pit Bull Mix,Black/White
A657228,Tiger,10/11/2013 11:34,10/11/2013 11:34,7/15/2005,Transfer,Partner,Dog,Neutered Male,8 years,8.247895738,Pit Bull Mix,Brown Brindle/White
A660118,*Ray Ray,10/11/2013 11:35,10/11/2013 11:35,8/3/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.190363394,Labrador Retriever/Pit Bull,Chocolate
A664473,*Arthur,10/11/2013 11:52,10/11/2013 11:52,10/4/2003,Transfer,Partner,Cat,Neutered Male,10 years,10.0287519,Domestic Shorthair Mix,Orange Tabby
A663707,*Alice,10/11/2013 11:54,10/11/2013 11:54,7/7/2013,Transfer,Partner,Cat,Spayed Female,3 months,0.264372146,Domestic Shorthair Mix,Brown Tabby/White
A663800,*Mindy,10/11/2013 11:55,10/11/2013 11:55,7/19/2013,Transfer,Partner,Cat,Spayed Female,2 months,0.231497336,Domestic Shorthair Mix,Blue Tabby/White
A663708,*Pinky,10/11/2013 11:55,10/11/2013 11:55,7/7/2013,Transfer,Partner,Cat,Spayed Female,3 months,0.264374049,Domestic Shorthair Mix,Brown Tabby/White
A664149,*Pip,10/11/2013 11:57,10/11/2013 11:57,9/30/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.031501142,Chihuahua Shorthair Mix,Tricolor
A664117,,10/11/2013 11:58,10/11/2013 11:58,9/29/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.036982496,Catahoula Mix,Brown Brindle/White
A663696,*Frankie,10/11/2013 11:58,10/11/2013 11:58,9/23/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.050681126,Labrador Retriever Mix,Yellow
A664467,Bandit,10/11/2013 11:59,10/11/2013 11:59,2/3/2013,Transfer,Partner,Dog,Neutered Male,8 months,0.686299467,Labrador Retriever Mix,Gold
A663921,*Collins,10/11/2013 12:01,10/11/2013 12:01,9/26/2012,Transfer,Partner,Dog,Spayed Female,1 year,1.042467656,Labrador Retriever/German Shepherd,Black
A664735,,10/11/2013 12:08,10/11/2013 12:08,8/8/2013,Transfer,Partner,Cat,Intact Female,2 months,0.176727549,Domestic Shorthair Mix,Blue Tabby/White
A664736,,10/11/2013 12:08,10/11/2013 12:08,8/8/2013,Transfer,Partner,Cat,Intact Male,2 months,0.176727549,Domestic Shorthair Mix,Blue Tabby/White
A616584,Chico,10/11/2013 12:25,10/11/2013 12:25,10/26/2011,Adoption,,Dog,Neutered Male,1 year,1.963061263,Pit Bull Mix,White/Black
A664097,Remmy,10/11/2013 13:13,10/11/2013 13:13,12/29/2012,Transfer,Partner,Dog,Intact Female,9 months,0.785070396,Pointer Mix,Black/White
A658963,*Grasshopper,10/11/2013 13:17,10/11/2013 13:17,7/17/2010,Transfer,Partner,Dog,Neutered Male,3 years,3.239872527,Pit Bull,Black
A650820,*Crimson,10/11/2013 13:17,10/11/2013 13:17,4/10/2007,Transfer,Partner,Dog,Spayed Female,6 years,6.511105403,Pointer,Brown/White
A664944,Fuzzyball,10/11/2013 13:18,10/11/2013 13:18,10/11/2003,Euthanasia,Suffering,Cat,Neutered Male,10 years,10.00973744,Maine Coon Mix,Brown Tabby
A615391,Molly,10/11/2013 13:34,10/11/2013 13:34,12/6/2010,Return to Owner,,Dog,Spayed Female,2 years,2.850863775,German Shepherd Mix,Black/Tan
A664597,Phoebe,10/11/2013 14:00,10/11/2013 14:00,6/5/2013,Transfer,Partner,Dog,Intact Female,4 months,0.352283105,Pit Bull Mix,Blue/White
A659059,*Lizzie,10/11/2013 14:43,10/11/2013 14:43,7/18/2011,Adoption,,Dog,Spayed Female,2 years,2.237296423,Australian Cattle Dog Mix,White/Brown
A661584,*Heidi,10/11/2013 15:00,10/11/2013 15:00,4/22/2013,Adoption,,Cat,Spayed Female,5 months,0.472945205,Domestic Shorthair Mix,Black
