Name,Born,Died,Age,Profession,Drug(s),Manner,Notes
Phil Lynott,1949,1986,36,Musician,Disputed,Unknown,"Conflicting sources report various causes of death, including heart and liver failure,[389] heart failure and pneumonia after a drug overdose,[390] and blood poisoning from heroin addiction[391]"
Billy Mackenzie,1957,1997,39,Musician,Unspecified,Unknown,
Jim Magnuson,1946,1991,44,Baseball pitcher,Alcohol,Unknown,
Jesse Mahelona,1983,2009,26,American football player,Alcohol,Accidental,Motor-vehicle collision while intoxicated
Chris Mainwaring,1965,2007,41,Australian football player,Cocaine,Accidental,
Bibek Maitra,1965,2006,40,Politician,Unspecified,Unknown,
Thomas Manby,1769,1834,65,British naval officer,Opium,Unknown,
Klaus Mann,1906,1949,42,Writer,Sleeping pills,Unknown,
Sherri Martel,1958,2007,49,Wrestler,Oxycodone,Accidental,Other unspecified drugs were involved
J. Sella Martin,1832,1876,43,Abolitionist,Laudanum,Suicide,
Virginia Maskell,1936,1968,31,Actress,Barbiturates,Unknown,
Thalia Massie,1911,1963,52,Wife,Barbiturates,Unknown,
Lisa Matsumoto,1964,2007,43,Author,Alcohol,Accidental,Motor-vehicle collision while intoxicated
John Matuszak,1950,1989,38,American football player,Dextropropoxyphene,Accidental,
Billy Mays,1958,2009,50,Salesperson,Cocaine,Heart disease,Cocaine use was listed as a contributory cause of death
David McComb,1962,1999,36,Musician,Heroin,Unknown,
Kid McCoy,1872,1940,67,Boxer,Sleeping pills,Suicide,
Jimmy McCulloch,1953,1979,26,Musician,Heroin,Unknown,
Marie McDonald,1923,1965,42,Actress,Unspecified multiple drugs,Unknown,
Jim McElroy,1862,1889,26,Baseball player,Morphine,Suicide,
Robbie McIntosh,1950,1974,24,Musician,Heroin,Unknown,
Stephen McKeag,1970,2000,30,Ulster Defence Association member,Cocaine and unspecified painkillers,Unknown,
Maggie McNamara,1928,1978,49,Actress,Sleeping pills,Suicide,
Lance McNaught,1981,2010,29,Wrestler,Unspecified,Accidental,Intoxication from mixed drugs complicated a cardiomyopathy
Aimee Semple McPherson,1890,1944,53,Evangelist,Sleeping pills,Unknown,
Jonathan Melvoin,1961,1996,34,Keyboardist,Heroin,Unknown,
Mayo Methot,1904,1951,47,Actress,Alcohol,Unknown,
Alfred Métraux,1902,1963,60,Anthropologist,Unspecified,Suicide,
Robin Milford,1903,1959,56,Composer,Aspirin,Suicide,
Mac Miller,1992,2018,26,Rapper,"Fentanyl, cocaine, and ethanol",Accidental,
Mary Millington,1945,1979,33,"Model, pornographic actress",Paracetamol,Suicide,
Miss Elizabeth,1960,2003,42,Wrestling manager,Multiple,Unknown,"Painkillers, nausea medication, tranquilizers and alcohol"
Marilyn Monroe,1926,1962,36,Actress,Barbiturates,Suicide (suspected),Officially ruled as a probable suicide though several conspiracy theories exist
Haoui Montaug,1952,1991,38–39,Bouncer,Secobarbital,Suicide,
Cory Monteith,1982,2013,31,"Actor, musician",Heroin and alcohol,Accidental (suspected),
Alain Montpetit,1950,1987,36,Media personality,Unspecified,Unknown,
Teresa Wilms Montt,1893,1921,28,Writer,Barbital,Suicide,
Keith Moon,1946,1978,32,Musician,Anti-seizure medication,Accidental,The medication had been prescribed for alcoholism
Ashleigh Aston Moore,1981,2007,26,Actress,Unspecified,Unknown,Suspected overdose
Perry Moore,1971,2011,39,Director,Multiple,Accidental,"Methadone, morphine and benzodiazaprine"
Dennis Moran,1982,2013,30,Security hacker,Heroin,Unknown,
Chester Morris,1901,1970,69,Actor,Barbiturates,Unknown,
Jim Morrison,1943,1971,27,Musician,Heroin,Heart failure,"Official cause of death was heart failure, though no autopsy was performed; strongly suspected to have been a heroin overdose"
James Mossman,1926,1971,44,Journalist,Sleeping pills,Suicide,
Billy Murcia,1951,1972,21,Musician,Methaqualone and alcohol,Unknown,
Ona Munson,1903,1955,51,Actress,Sleeping pills,Suicide,
Brittany Murphy,1977,2009,32,Actress,Unspecified,Multiple,"Cause of death was a combination of pneumonia, an iron deficiency and combined drug intoxication of legal drugs for influenza treatment"
Brent Mydland,1952,1990,37,Musician,Cocaine and morphine,Unknown,
Valerie Grosvenor Myer,1935,2007,72,Writer,Sleeping pills,Suicide,
Yves Navarre,1940,1994,53,Writer,Barbiturates,Suicide,
Scott Newman,1950,1978,28,Actor,Multiple,Accidental,"Diazepam, alcohol and other unspecified drugs"
Tina Onassis Niarchos,1929,1974,45,Wife,Unspecified,Unknown,
Ruth Rowland Nichols,1901,1960,59,Aviator,Barbiturates,Suicide,
Joachim Nielsen,1964,2000,36,"Musician, poet",Unspecified,Unknown,
Filip Nikolic,1974,2009,35,Singer,Sleeping pills,Undetermined,
Cranford Nix,1969,2002,33,Musician,Unspecified,Unknown,
Mary Nolan,1902,1948,45,Actress,Secobarbital,Unknown,
Kent North,1971,2007,35,Pornographic actor,Unspecified,Suicide (speculated),
Bradley Nowell,1968,1996,28,Musician,Heroin,Unknown,
John Odom,1982,2008,26,Baseball player,Multiple,Accidental,"Heroin, methamphetamines, benzylpiperazine and alcohol"
Lani O'Grady,1954,2001,46,Actress,Fluoxetine and hydrocodone/paracetamol,Unknown,
Johnny O'Keefe,1935,1978,43,Singer,Unspecified,Suicide,
Pascale Ogier,1958,1984,25,Actress,Unspecified,Unknown,
Ol' Dirty Bastard,1968,2004,35,Musician,Cocaine and tramadol,Accidental,
Charlie Ondras,1966,1992,25,Musician,Heroin,Unknown,
Dolores O'Riordan,1971,2018,46,Singer,Alcohol,Accidental,Drowned as a result of alcohol intoxication
Alice Ormsby-Gore,1952,1995,42,Socialite,Heroin,Misadventure,
Matt Osborne,1957,2013,55,Wrestler,Hydrocodone and morphine,Accidental,
Liam O'Sullivan,1981,2002,20,Football player,Unspecified,Unknown,
Leila Pahlavi,1970,2001,31,"Princess, model",Secobarbital,Unknown,
Helen Palmer,1898,1967,69,Writer,Barbiturates,Suicide,
Marco Pantani,1970,2004,34,Cyclist,Cocaine,Accidental,
Fran Papasedero,1969,2003,34,American football coach,Alcohol,Accidental,Motor-vehicle collision while intoxicated
Gram Parsons,1946,1973,26,Singer,Morphine and alcohol,Unknown,
Robert Pastorelli,1954,2004,49,Actor,Heroin,Unknown,
Jenny Pat,1981,2014,33,Art dealer,Unspecified prescription drugs,Unknown,
Cesare Pavese,1908,1950,41,"Poet, novelist",Barbiturates,Suicide,
Andrea Pazienza,1956,1988,32,Comics artist,Heroin,Unknown,
Harvey Pekar,1939,2010,70,Comic writer,Bupropion and fluoxetine,Accidental,
Carl Perkins,1928,1958,29,Pianist,Heroin,Unknown,Suspected overdose
Amanda Peterson,1971,2015,43,Actress,Morphine,Accidental,
Christopher Pettiet,1976,2000,24,Actor,Unspecified,Accidental,
Tom Petty,1950,2017,66,"Musician, actor",Multiple,Accidental,"Fentanyl, oxycodone, temazepam, alprazolam, citalopram, acetyl fentanyl, and despropionyl fentanyl"
William Petzäll,1988,2012,24,Politician,Unspecified,Unknown,Suspected overdose
Kristen Pfaff,1967,1994,27,Musician,Heroin,Unknown,
River Phoenix,1970,1993,23,Actor,Cocaine and heroin,Accidental,
Rob Pilatus,1965,1998,32,Musician,Unspecified prescription drugs and alcohol,Unknown,
Pimp C,1973,2007,33,Musician,Codeine and promethazine,Unknown,
Alejandra Pizarnik,1936,1972,36,Poet,Unspecified sedatives,Unknown,
Dana Plato,1964,1999,34,Actress,Carisoprodol and hydrocodone/paracetamol,Suicide,
Silvo Plut,1968,2007,38,Serial killer,Sleeping pills,Suicide,
Edgar Allan Poe,1809,1849,40,Poet,Laudanum,Multiple,Poe was killed by a combination of the laudanum alongside dipsomania and delerium tremens
Jackson Pollock,1912,1956,44,Painter,Alcohol,Accidental,Motor-vehicle collision while intoxicated
Darrell Porter,1952,2002,50,Baseball catcher,Cocaine,Unknown,
Marin Preda,1922,1980,57,Writer,Alcohol,Unknown,
Elvis Presley,1935,1977,42,Singer,Multiple,Disputed,"Fourteen drugs were involved; it is accepted they played a factor in his death, though to what degree is debated"
Marie Prevost,1896,1937,38,Actress,Alcohol,Unknown,
Dickie Pride,1941,1969,27,Singer,Sleeping pills,Unknown,
Gary Primich,1958,2007,49,Singer,Heroin,Unknown,
Prince,1958,2016,57,Musician,Fentanyl,Accidental,
Fritz Pröll,1915,1944,29,Resistance fighter,Cyanide poisoning,Suicide,
Geoffrey Pyke,1893,1948,54,Journalist,Phenobarbital,Suicide,
Robert Quine,1942,2004,61,Musician,Heroin,Suicide,
Glenn Quinn,1970,2002,32,Actor,Unspecified,Accidental,
Dee Dee Ramone,1951,2002,50,Musician,Heroin,Unknown,
Nicola Ann Raphael,1985,2001,15,Student,Dextropropoxyphene,Suicide,
DJ Rashad,1979,2014,34,Disc jockey,Multiple,Accidental,"Heroin, cocaine, and alprazolam"
James Ray,1941,c. 1963,21–23,Singer,Unspecified,Unknown,
Amber Rayne,1984,2016,31,Pornographic actress,Cocaine,Accidental,
Richard Realf,1832,1878,46,Poet,Morphine,Unknown,
Jay Reatard,1980,2010,29,Musician,Cocaine and alcohol,Unknown,
Michael Reeves,1943,1969,25,Film director,Barbiturates and alcohol,Unknown,
Wallace Reid,1891,1923,31,Actor,Morphine,Unknown,The morphine was prescribed
Elis Regina,1945,1982,36,Singer,Multiple,Accidental,"Cocaine, alcohol, and temazepam"
The Rev,1981,2009,28,Musician,Multiple,Unknown,"Oxycodone, oxymorphone, diazepam, nordiazepam and ethanol"
Willy Rey,1949,1973,23,Model,Barbiturates,Unknown,
Helen Richey,1909,1947,37–38,Aviator,Sleeping pills,Suicide,
Brad Renfro,1982,2008,25,Actor,Heroin and morphine,Accidental,
Lucha Reyes,1906,1944,38,Singer,Sleeping pills,Suicide,
Frank Ringo,1860,1889,28,Baseball player,Morphine,Suicide,
Chynna Rogers,1994,2020,26,"Model, musician",Unspecified,Unknown,
Rachel Roberts,1927,1980,53,Actress,Barbiturates,Suicide,
Don Rogers,1962,1986,23,American football player,Cocaine,Unknown,Drug-induced heart attack
Steve Rogers,1954,2006,51,Rugby league player,Antidepressants and alcohol,Accidental,
Giles Romilly,1916,1967,50,Journalist,Unspecified,Unknown,
Monica Rose,1948,1994,45,TV show hostess,Antidepressants and tranquilizers,Suicide,
Edgar Rosenberg,1925,1987,62,Film producer,Diazepam,Suicide,
Clinton Rossiter,1917,1970,52,Historian,Barbiturates,Suicide,
Mark Rothko,1903,1970,66,Painter,Barbiturates,Suicide,Rothko also slit his wrists
Axl Rotten,1971,2016,44,Wrestler,Heroin,Unknown,
Dave Rubinstein,1964,1993,28,Singer,Unspecified,Suicide,
Rick Rude,1958,1999,40,Wrestler,Unspecified painkillers,Unknown,
David Ruffin,1941,1991,50,Musician,Cocaine,Unknown,
Gerry Ryan,1956,2010,53,Radio personality,Cocaine,Heart attack,Heart attack was suspected to be triggered by cocaine
Johanna Sällström,1974,2007,32,Actress,Unspecified,Suicide,
Ananda Samarakoon,1911,1962,51,"Composer, musician",Sleeping pills,Unknown,
George Sanders,1906,1972,65,Actor,Pentobarbital,Suicide,
Tyler Sash,1988,2015,27,American football player,Hydrocodone and methadone,Accidental,
John Baker Saunders,1954,1999,44,Musician,Heroin,Unknown,
Catya Sassoon,1968,2002,33,"Model, actress",Cocaine and hydromorphone,Unknown,
Sonja Savi?,1961,2008,47,Actress,Unspecified,Unknown,
Sybille Schmitz,1909,1955,45,Actress,Sleeping pills,Suicide,
Donald Sinclair,1911,1995,84,Veterinary surgeon,Barbiturates,Suicide,
Gia Scala,1934,1972,38,"Actress, model",Unspecified drugs and alcohol,Accidental,
Frederick Schwatka,1849,1892,43,Army officer,Opiates,Suicide,Conflicting sources report morphine or laudanum as causing the overdose
Bon Scott,1946,1980,33,Musician,Alcohol,Unknown,
Ronnie Scott,1927,1996,69,Musician,Barbiturates,Accidental,The barbiturates were prescribed
George Scott III,1953,1980,26,Bass player,Unspecified,Unknown,
Pat Screen,1943,1994,51,American football player,Unspecified,Unknown,
Rod Scurry,1956,1992,36,Baseball pitcher,Cocaine,Unknown,Drug-induced heart attack
William Seabrook,1884,1945,61,Writer,Sleeping pills,Suicide,
Jean Seberg,1938,1979,40,Actress,Barbiturates and alcohol,Suicide,
Edie Sedgwick,1943,1971,28,Actress,Barbiturates and alcohol,Undetermined,"Her death certificate states the immediate cause of death was ""probable acute barbiturate intoxication"" due to ethanol intoxication"
Eddy Shaver,1962,2000,38,Musician,Heroin,Accidental,
Mark Shaw,1921,1969,47,Photographer,Amphetamines,Unknown,
Bobby Sheehan,1968,1999,31,Musician,Unspecified,Unknown,
Toby Sheldon,1980,2015,35,Songwriter,Multiple,Accidental,"Hydrocodone/paracetamol, alprazolam, alcohol and temazepam"
Eric Show,1956,1994,37,Baseball player,Cocaine and heroin,Unknown,
Elizabeth Siddal,1829,1862,32,"Model, poet",Laudanum,Unknown,
Judee Sill,1944,1979,35,Musician,Cocaine and heroin,Unknown,
Don Simpson,1943,1996,52,Film producer,Cocaine and unspecified prescription drugs,Unknown,Drug-induced heart failure
The Singing Nun,1933,1985,51,Nun,Barbiturates and alcohol,Suicide,
Vera Sisson,1891,1954,63,Actress,Barbiturates,Suicide,
Tyler Skaggs,1991,2019,27,Baseball pitcher,Multiple,Accidental,"Choked on his own vomit while under the influence of alcohol, fentanyl and oxycodone"
Everett Sloane,1909,1965,55,Actor,Barbiturates,Suicide,
Hillel Slovak,1962,1988,26,Musician,Heroin,Unknown,
Alvin Smith,1798,1823,25,Carpenter's assistant,Mercury poisoning,Accidental,"Officially administered to cure bilious colic, though speculated as murder"
Anna Nicole Smith,1967,2007,39,Model,Multiple,Accidental,"Unspecified anti-depressants, diazepam, chloral hydrate, oseltamivir, methadone, sleeping pills, anti-anxiety medication and human growth hormone"
Christine Smith,1946,1979,32,Skier,Multiple,Suicide,"Chloralhydrate, paracetamol and salicylic acid"
Daniel Wayne Smith,1986,2006,20,Student,Multiple,Accidental,"Cardiac dysrhythmia caused by methadone, escitalopram and sertraline"
Dash Snow,1981,2009,27,Artist,Heroin,Unknown,
Robert Soblen,1900,1962,61,Psychiatrist,Barbiturates,Unknown,
Erin Spanevello,1987,2008,21,Model,Gamma-Hydroxybutyric acid and MDMA,Unknown,
Louie Spicolli,1971,1998,27,Wrestler,Unspecified,Unknown,Conflicting sources state drug overdose or coronary disease that might have been impacted by drug use
Oscar Spirescu,1874,1918,43–44,Composer,Chloroform,Suicide,
Layne Staley,1967,2002,34,Musician,Multiple,Unknown,"Cocaine, heroin and codeine"
Mike Starr,1966,2011,44,Musician,Unspecified prescription drugs,Unknown,
Wayne Static,1965,2014,48,Musician,Multiple,Accidental,"Ooxycodone, hydromorphone, alprazolam and with alcohol"
Jahna Steele,1958,2008,49,Showgirl,Multiple,Unknown,"Cocaine, hydromorphone and morphine"
Joey Stefano,1968,1994,26,Pornographic actor,Multiple,Unknown,"Cocaine, morphine, heroin and ketamine"
Miroslava Stern,1926,1955,29,Actress,Sleeping pills,Suicide,
Avram Steuerman-Rodion,1872,1918,45,"Poet, physician",Morphine,Suicide,
Carl Steven,1974,2011,36,Actor,Heroin,Unknown,
Inger Stevens,1934,1970,35,Actress,Barbiturates,Suicide,
Cathy Stewart,1956,1994,38,Pornographic actress,Unspecified,Unknown,
Albert Stinson,1944,1969,24,Musician,Unspecified,Unknown,
Rory Storm,1939,1972,34,Musician,Sleeping pills and alcohol,Unknown,
Rose Stradner,1913,1958,45,Actress,Unspecified,Suicide,
Margaret Sullavan,1909,1960,50,Actress,Barbiturates,Suicide,
Paige Summers,1976,2003,27,Pornographic actress,Unspecified,Unknown,
R. G. Surdam,1835,1891,56,Real-estate agent,Laudanum,Accidental,
Marek Svatoš,1982,2016,34,Ice hockey player,Multiple,Unknown,"Codeine, morphine and alprazolam"
Jennifer Syme,1972,2001,28,Actress,Multiple,Accidental,"Motor-vehicle collision while intoxicated by cocaine, clonazepam and cyclobenzaprine"
Joan Tabor,1932,1968,36,Actress,Unspecified influenza medication,Accidental,
Hidemitsu Tanaka,1913,1949,36,Writer,Sleeping pills,Suicide,
Warren Tartaglia,1944,1965,22,Musician,Heroin,Unknown,
Chase Tatum,1973,2008,34,Wrestler,Unspecified,Unknown,Suspected overdose; Tatum was addicted to painkillers for years
Mackenzie Taylor,1978,2010,32,Comedian,Unspecified,Suicide,
Vincent Taylor,1949,1974,24–25,Musician,Heroin,Unknown,
Sara Teasdale,1884,1933,48,Poet,Sleeping pills,Suicide,
Tempe Girl,c. 1985,2002,15–19,Unidentified decedent,Unspecified,Unknown,
Test,1975,2009,33,Wrestler,Oxycodone,Accidental,
Gary Thain,1948,1975,27,Musician,Heroin,Unknown,
John Thompson,1938,1976,38,Poet,Barbiturates and alcohol,Unknown,
Linda Thompson,1953,2009,56,Conspiracy theorist,Unspecified painkillers,Suicide,The painkillers were prescribed
Jotie T'Hooft,1956,1977,21,Poet,Unspecified,Unknown,
Johnny Thunders,1952,1991,38,Musician,Disputed,Unknown,"Autopsy results were inconclusive, though it is generally believed to be drug-related, and has been attributed to methadone and cocaine overdose"
James Timberlake,1846,1891,44,Lawman,Morphine,Unknown,
Sammee Tong,1901,1964,63,Actor,Barbiturates,Suicide,Suspected overdose
Georg Trakl,1887,1914,27,Poet,Cocaine,Suicide,
William Trimmer,c. 1822,1867,54–56,Vigneron,Laudanum,Suicide,
Kurt Tucholsky,1890,1935,45,Journalist,Barbital,Unknown,
Mark Tuinei,1960,1999,39,American football player,Heroin and MDMA,Unknown,
Nick Traina,1978,1997,19,Singer,Morphine,Unknown,
Norman Treigle,1927,1975,48,Singer,Sleeping pills,Accidental,
Verne Troyer,1969,2018,48,Actor,Alcohol,Suicide,
Amy Tryon,1970,2012,42,Equestrian,Oxycodone and other opiates,Accidental,
Alan Turing,1912,1954,41,Computer scientist,Cyanide poisoning,Disputed suicide,
D. M. Turner,1962,1996,34,Author,Ketamine,Unknown,Drowned while intoxicated
Lynn Turner,1968,2010,42,Murderer,Propranolol,Suicide,
Ike Turner,1931,2007,76,"Musician, producer",Cocaine,Unknown,Hypertensive cardiovascular disease and emphysema were contributing factors
Dick Twardzik,1931,1955,24,Pianist,Heroin,Unknown,
Helen Twelvetrees,1908,1958,49,Actress,Unspecified,Suicide,
John Tyndall,1820,1893,73,Physicist,Chloral hydrate,Accidental,
Dorothy Uhnak,1930,2006,76,Author,Unspecified,Suicide,
Umaga,1973,2009,36,Wrestler,Unspecified,Unknown,
Mary Ure,1933,1975,42,Actress,Barbiturates and alcohol,Accidental,
Enrique Urquijo,1960,1999,39,Singer,Unspecified,Unknown,
Luna Vachon,1962,2010,48,Wrestler,Benzodiazepine and oxycodone,Accidental,
Paul Vaessen,1961,2001,39,Football player,Unspecified,Unknown,
Brandon Vedas,1981,2003,21,Computer expert,Multiple,Unknown,"Alcohol, cannabis, psilocybin mushroom, clonazepam, temazepam, methadone, hydrocodone and propanolol"
Lupe Vélez,1908,1944,36,Actress,Secobarbital,Suicide,
Michael VerMeulen,1956,1995,38,Magazine editor,Cocaine,Unknown,
Jon Vincent,1962,2000,38,Pornographic actor,Heroin,Unknown,
Sid Vicious,1957,1979,21,Musician,Heroin,Suicide (suspected),
Mike Von Erich,1964,1987,23,Wrestler,Tranquilizer,Suicide,
Marie Walcamp,1894,1936,42,Actress,Unspecified painkillers,Suicide,
Robert Walker,1918,1951,32,Actor,Unspecified sedatives,Accidental,
Jeremy Ward,1976,2003,27,Sound technician,Unspecified,Unknown,
Stephen Ward,1912,1963,50,Osteopathic physician,Sleeping pills,Suicide,Death was officially ruled a suicide but it has been speculated as murder
Dinah Washington,1924,1963,39,Singer,Secobarbital and amobarbital,Unknown,
Peter Watts,1946,1976,30,Road manager,Heroin,Unknown,
Dave Waymer,1958,1993,34,American football player,Cocaine,Accidental,Drug-induced heart attack
Mikey Welsh,1971,2011,40,Musician,Unspecified,Unknown,
Scott Weiland,1967,2015,48,Musician,Multiple,Accidental,"Cocaine, ethanol and 3,4-Methylenedioxyamphetamine"
Jaromír Weinberger,1896,1967,71,Composer,Unspecified sedatives,Unknown,
Assia Wevill,1927,1969,41,Poet,Sleeping pills,Suicide,Wevill took the pills then exposed herself to carbon monoxide
Rachel Whitear,1979,2000,21,Student,Heroin,Accidental,
Brett Whiteley,1939,1992,53,Artist,Heroin,Unknown,
Keith Whitley,1955,1989,33,Singer,Alcohol,Unknown,
Danny Whitten,1943,1972,29,Musician,Diazepam and alcohol,Unknown,
David Widgery,1947,1992,45,Writer,Multiple,Unknown,"Alcohol, barbiturates and pethidine"
Ellen Wilkinson,1891,1947,55,Politician,Barbiturates,Unknown,
Kenneth Williams,1926,1988,62,Actor,Barbiturates,Unknown,
Ricky Williams,1956,1992,36,Musician,Heroin,Unknown,
Alan Wilson,1943,1970,27,Musician,Barbiturates,Accidental,Death was officially ruled accidental though has been speculated as suicide
Amy Winehouse,1983,2011,27,Singer,Alcohol,Unknown,
Sheree Winton,1935,1976,39,Singer,Barbiturates,Suicide,
Grant Withers,1905,1959,54,Actor,Sleeping pills,Suicide,
Harris Wittels,1984,2015,30,Comedian,Heroin,Accidental,
Carl Wittman,1943,1986,42,Activist,Unspecified,Suicide,
Linda Wong,1951,1987,36,Pornographic actress,Unspecified,Unknown,
Andrew Wood,1966,1990,24,Singer,Heroin,Unknown,
Anna Wood,1980,1995,15,Student,MDMA,Water intoxication,Died from water intoxication secondary to use of MDMA
Natalie Wood,1938,1981,43,Actress,Alcohol,Accidental,"Drowned while intoxicated by alcohol; there were traces of a motion-sickness pill and a painkiller in her blood, both of which would have increased the effects of alcohol"
Corissa Yasen,1973,2001,27,Athlete,Multiple,Unknown,"Diazepam, hydrocodone, lorazepam, fluoxetine and other drugs including anti-depressants, painkillers and anxiety medications"
Paula Yates,1959,2000,41,TV presenter,Heroin,Accidental,
Kelly Yeomans,1984,1997,13,Student,Dextropropoxyphene,Suicide,
Elvis Yero,1965,2001,36,Boxer,Unspecified,Unknown,
Philip Van Zandt,1904,1958,53,Actor,Unspecified,Unknown,
Zeke Zettner,1948,1973,25,Musician,Heroin,Unknown,
Stefan Zweig,1881,1942,60,Playwright,Sleeping pills,Suicide,
